name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,ffa_median,ffa_upper,ffa_lower,pff_median,sdPts,dropoff,sdRank,risk,offset
Panthers,3200.0,DST,CAR,TB,2.491423785686493,3.291413187980652,1.9812500476837158,7.972556114196777,10.532522201538086,6.340000152587891,8.04511212911782,10.5325220674293,6.34,7.9,1.79633452906811,0.120593265425942,NA,5.36846267240381,
Texans,3000.0,DST,HOU,DEN,2.4845147132873535,2.4755751291910806,2.116666634877523,7.4535441398620605,7.426725387573242,6.349999904632568,7.10708785268412,7.42672518594027,6.35,7.8,0.414182877604338,0.0991834587080334,NA,3.30332965194181,
David Njoku,4600.0,TE,CLE,KC,2.458295407502548,3.0398540911467182,1.4221738732379416,11.308158874511719,13.983328819274902,6.541999816894531,11.3081593343498,13.9833286010935,6.542,,3.51134242538839,0.586979175248199,1.1,9.69873846663791,
Redskins,2600.0,DST,WAS,ATL,2.4507661966177134,2.725267777076134,2.133610248565674,6.371992111206055,7.085696220397949,5.547386646270752,6.54398385089166,7.08569619316003,5.54738683127572,6.2,0.772869377137031,0.157746508353592,NA,3.83925878344805,
Vikings,2900.0,DST,MIN,DET,2.4503018938261887,2.950203665371599,2.0974543998981345,7.105875492095947,8.555590629577637,6.08261775970459,6.8117505551992,8.55559109586887,6.08261784039484,7.4,1.24404639592474,0.185453513027727,NA,4.54326490242265,
Tyler Lockett,5200.0,WR,SEA,LAC,2.4332921321575456,3.0168481973501353,1.8269988206716683,12.653119087219238,15.687610626220703,9.500393867492676,12.8062387767804,15.6876107230579,9.50039373299621,12.5,2.45593620806204,0.859685013878515,2.9,7.32720841486712,
Rams,2400.0,DST,LAR,NO,2.430909077326457,3.182464838027954,2.00000007947286,5.834181785583496,7.63791561126709,4.800000190734863,6.36836386147088,7.63791572155217,4.8,5.3,1.09704855229045,0.0460346584850875,NA,4.32362901767413,
DeSean Jackson,5000.0,WR,TB,CAR,2.4302366256713865,2.5067859649658204,2.050663185119629,12.151183128356934,12.533929824829102,10.253315925598145,11.3023672008489,12.5339302325581,10.2533155436958,13,1.14989206111345,0.119208401190342,1.6,5.13090833084231,
Phillip Lindsay,5500.0,RB,DEN,HOU,2.4203834533691406,2.7952821904962715,2.234238711270419,13.312108993530273,15.374052047729492,12.288312911987305,14.3242189209411,15.3740517713883,12.2883127572016,12.3,1.15728493601723,0.548797752020853,1.7,5.8140836787636,
Austin Hooper,3800.0,TE,ATL,WAS,2.415365168922826,2.705045499299702,2.105612503854852,9.178387641906738,10.279172897338867,8.001327514648438,9.35677606336897,10.2791732919255,8.00132714804357,9,1.02943611903931,2.41961831483506,1,5.41826310000995,
Stefon Diggs,6800.0,WR,MIN,DET,2.4063648897058822,2.896710564108456,1.875,16.36328125,19.6976318359375,12.75,16.6265630548398,19.6976322018417,12.75,16.1,2.80913214715027,0.645864327993472,2.6,7.71890652646382,
Keenan Allen,7300.0,WR,LAC,SEA,2.402633510223807,2.6551873716589522,1.9657534769136613,17.53922462463379,19.38286781311035,14.350000381469727,16.8784480033062,19.3828681924765,14.35,18.2,2.39944534760891,0.37603089484054,1.8,6.90821378676356,
Robert Woods,7000.0,WR,LAR,NO,2.399999346051897,2.7949562072753906,2.161428587777274,16.79999542236328,19.564693450927734,15.130000114440918,17.5999893013045,19.564693089516,15.13,16,1.74715883542054,0.498311555671698,1.1,5.7955529107454,
John Brown,5800.0,WR,BAL,PIT,2.3993696015456627,3.0218384183686355,1.9029309831816574,13.916343688964844,17.526662826538086,11.036999702453613,13.9163441105997,17.5266630302446,11.037,,3.04017609541241,0.25025737131376,2,7.84980725643644,
Demaryius Thomas,4500.0,WR,HOU,DEN,2.3971517350938587,2.6568455166286893,0.9854163063897027,10.787182807922363,11.955804824829102,4.434373378753662,10.2743654470999,11.9558044870122,4.43437326602996,11.3,2.78146186047203,0.190959765002363,6.8,8.98464774990063,
Kapri Bibbs,3500.0,RB,WAS,ATL,2.3967293330601285,2.5359886714390347,0.7199999945504325,8.38855266571045,8.875960350036621,2.5199999809265137,6.57710490582716,8.87596,2.52,10.2,2.47752236207557,0.339401129833517,5.6,10.3802352766092,
Alex Collins,4600.0,RB,BAL,PIT,2.3868326518846597,2.626316858374554,1.8043478675510574,10.979430198669434,12.08105754852295,8.300000190734863,10.9794299360083,12.0810576144755,8.3,,1.41653047746322,0.237150017798244,2.3,6.60649856753726,
DeAndre Hopkins,8300.0,WR,HOU,DEN,2.3828635158309015,2.7215594555958207,1.8762650547257387,19.777767181396484,22.588943481445312,15.572999954223633,19.8555335047386,22.5889434186589,15.573,19.7,2.66429396782976,1.31723121904369,1.1,7.05447611817229,
Doug Baldwin,5300.0,WR,SEA,LAC,2.380359397744233,2.8836241308248267,1.7377358562541458,12.615904808044434,15.283207893371582,9.210000038146973,12.3318096360762,15.2832083140796,9.21,12.9,3.12011472390845,0.879287024332914,2.2,8.02161862029935,
Kerryon Johnson,5600.0,RB,DET,MIN,2.3758115087236678,2.690383195877075,1.9428571632930212,13.304544448852539,15.066145896911621,10.880000114440918,13.5090895061728,15.0661459070328,10.88,13.1,1.72375717904979,0.372690159959289,1.4,6.53310002784362,
Greg Olsen,4700.0,TE,CAR,TB,2.3688695785847114,2.724939711550449,1.6212765713955493,11.133687019348145,12.80721664428711,7.619999885559082,11.3673749215036,12.8072167823691,7.62,10.9,2.03934972184188,0.154365860787561,1.5,7.33454284890807,
Cooper Kupp,6000.0,WR,LAR,NO,2.359994570414225,2.6462090810139975,1.7988934516906738,14.159967422485352,15.877254486083984,10.793360710144043,14.3199354113126,15.8772543779066,10.7933605337759,14,1.70681072822367,0.35802912875339,4.9,6.91972754861919,
Tarik Cohen,6200.0,RB,CHI,BUF,2.358903269613943,2.882905467864006,2.045077200858824,14.625200271606445,17.874013900756836,12.679478645324707,15.8503998661446,17.8740136854289,12.6794787379973,13.4,2.51833868090314,1.69307297965014,2.3,8.37172127425338,
Austin Ekeler,4300.0,RB,LAC,SEA,2.343724938326104,3.0241686798805416,1.637480092603107,10.078017234802246,13.003925323486328,7.041164398193359,10.5560338330394,13.003925,7.04116428571429,9.6,2.21211558094676,0.676268829465943,1.2,7.18981472185051,
Antonio Brown,8400.0,WR,PIT,BAL,2.337770234970819,2.5471067428588867,2.192061288016183,19.637269973754883,21.39569664001465,18.413314819335938,20.4745406319176,21.3956962616822,18.4133155436958,18.8,1.10201849987541,0.597836374039669,1.5,5.03415273201058,
Melvin Gordon,8200.0,RB,LAC,SEA,2.3329797605188882,2.6610876874225897,1.9435142889255432,19.130434036254883,21.820919036865234,15.936817169189453,19.6608674700214,21.8209194116157,15.936817558299,18.6,2.49467308650864,0.40969405102954,1.3,7.70534979812913,
Mike Evans,8100.0,WR,TB,CAR,2.3281358789514615,2.5875272868592063,1.506172815958659,18.857900619506836,20.95897102355957,12.199999809265137,17.9158026429622,20.9589707329647,12.2,19.8,2.91737127546072,0.291070740900114,1.2,7.43290859258765,
