Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
317,Chase Daniel,CHI,qb,5,@BUF,0.1,"$4,300 "
311,Cooper Rush,DAL,qb,8,TEN,0.1,"$4,200 "
304,Kevin Hogan,DEN,qb,10,HST,0.1,"$4,000 "
305,Matt Cassel,DET,qb,6,@MIN,0.1,"$4,400 "
306,DeShone Kizer,GB,qb,7,@NE,0.1,"$4,300 "
307,Brandon Weeden,HST,qb,10,@DEN,0.1,"$4,400 "
308,Chad Henne,KC,qb,12,@CLV,0.1,"$4,300 "
309,David Fales,MIA,qb,11,NYJ,0.1,"$4,000 "
310,Josh McCown,NYJ,qb,11,@MIA,0.1,"$4,300 "
302,A.J. McCarron,OAK,qb,7,@SF,0.1,N/A
312,Joshua Dobbs,PIT,qb,7,@BLT,0.1,"$4,400 "
313,Geno Smith,LAC,qb,8,@SEA,0.1,"$4,300 "
314,Brett Hundley,SEA,qb,7,LAC,0.1,"$4,300 "
315,Blaine Gabbert,TEN,qb,8,@DAL,0.1,"$4,500 "
316,Colt McCoy,WAS,qb,4,ATL,0.1,"$4,400 "
318,Bears DST,CHI,dst,5,@BUF,9.2,"$4,100 "
319,Panthers DST,CAR,dst,4,TB,7.9,"$3,200 "
320,Cowboys DST,DAL,dst,8,TEN,7.9,"$2,900 "
321,Texans DST,HST,dst,10,@DEN,7.8,"$3,000 "
322,Chiefs DST,KC,dst,12,@CLV,7.8,"$2,700 "
323,Raiders DST,OAK,dst,7,@SF,7.8,"$2,400 "
324,Broncos DST,DEN,dst,10,HST,7.7,"$2,300 "
325,Dolphins DST,MIA,dst,11,NYJ,7.7,"$2,800 "
326,Ravens DST,BLT,dst,10,PIT,7.6,"$2,500 "
327,Vikings DST,MIN,dst,10,DET,7.4,"$2,900 "
328,Jets DST,NYJ,dst,11,@MIA,7.4,"$2,500 "
329,49ers DST,SF,dst,11,OAK,7.4,"$2,300 "
330,Bills DST,BUF,dst,11,CHI,7.3,"$2,300 "
331,Steelers DST,PIT,dst,7,@BLT,7.1,"$2,300 "
332,Titans DST,TEN,dst,8,@DAL,7.1,"$2,700 "
333,Chargers DST,LAC,dst,8,@SEA,6.9,"$2,300 "
334,Seahawks DST,SEA,dst,7,LAC,6.9,"$2,500 "
335,Patriots DST,NE,dst,11,GB,6.6,"$2,200 "
336,Redskins DST,WAS,dst,4,ATL,6.2,"$2,600 "
337,Packers DST,GB,dst,7,@NE,6.1,"$2,000 "
338,Browns DST,CLV,dst,11,KC,5.8,"$2,000 "
339,Lions DST,DET,dst,6,@MIN,5.8,"$2,100 "
340,Falcons DST,ATL,dst,8,@WAS,5.7,"$2,200 "
341,Saints DST,NO,dst,6,LAR,5.5,"$2,200 "
342,Rams DST,LAR,dst,12,@NO,5.3,"$2,400 "
343,Buccaneers DST,TB,dst,5,@CAR,5.3,"$2,000 "
