player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Khalil Tate,QB,ARIZ,22,22,23.2,244,1.7,53,0.39,0,0,,,
Marquez Stevenson,WR,HOU,18.5,18.5,23.2,,,8,0.23,97,0.61,,,
Scottie Phillips,RB,MISS,20,20,23,,,94,0.71,27,0.41,,,
Tylan Wallace,WR,OKLAST,17.5,17.5,22.9,,,0,0,114,0.61,,,
N'Keal Harry,WR,ARIZST,17.7,17.7,22.8,,,2,0.06,95,0.69,,,
Blake Barnett,QB,SFLA,21.7,21.7,22.6,221,1.92,29,0.7,0,0,,,
McKenzie Milton,QB,UCF,21.7,21.7,22.6,208,2.02,37,0.56,0,0,,,
Nico Evans,RB,WYO,19.8,19.8,22.4,,,105,1.04,10,0.28,,,
Charlie Brewer,QB,BAYLOR,20.5,20.5,22.4,288,1.71,15,0.39,0,0,,,
Ian Book,QB,ND,20.5,20.5,22.3,284,1.74,26,0.24,0,0,,,
Cole McDonald,QB,HAWAII,20.9,20.9,22.3,244,2.14,30,0.22,0,0,,,
JT Daniels,QB,USC,19.8,19.8,22.3,297,2.45,0,0.04,0,0,,,
Andy Isabella,WR,MA,17.5,17.5,22.2,,,8,0.01,100,0.73,,,
Bryant Koback,RB,TOLEDO,19.7,19.7,22,,,103,1.36,6,0.07,,,
J.J. Taylor,RB,ARIZ,18.4,18.4,21.9,,,127,0.64,12,0.09,,,
David Pindell,QB,UCONN,21.3,21.3,21.8,191,1.06,84,0.54,0,0,,,
Antoine Wesley,WR,TXTECH,17,17,21.7,,,0,0,96,0.73,,,
Tobias Oliver,QB,GATECH,21.4,21.4,21.5,91,1.27,85,0.78,0,0,,,
Jordan Cronkrite,RB,SFLA,18.5,18.5,21.5,,,122,0.82,7,0.1,,,
Olamide Zaccheaus,RB,UVA,17.2,17.2,21.5,,,17,0.14,76,0.67,,,
Justice Hill,RB,OKLAST,18.3,18.3,21.4,,,113,0.77,10,0.14,,,
Mike Weber,RB,OHIOST,18.3,18.3,21.4,,,108,0.97,8,0.08,,,
Jarrett Guarantano,QB,TENN,19.4,19.4,21.3,281,2.4,-5,0.04,0,0,,,
Trevor Lawrence,QB,CLEM,19.5,19.5,21.2,269,2.28,10,0.06,0,0,,,
Kai Locksley,QB,UTEP,20.5,20.5,21.1,208,1.16,47,0.65,0,0,,,
Shamari Brooks,RB,TULSA,18.1,18.1,20.9,,,105,0.94,11,0.09,,,
Diontae Johnson,WR,TOLEDO,17.5,17.5,20.9,,,2,0,83,1.13,,,
Eno Benjamin,RB,ARIZST,17.8,17.8,20.8,,,76,0.7,28,0.25,,,
Ben Hicks,QB,SMU,18.5,18.5,20.7,296,2.19,-5,0.06,0,0,,,
Damonte Coxie,WR,MEMP,16.8,16.8,20.6,,,0,0,90,0.88,,,
Justin Herbert,QB,OREG,19.5,19.5,20.3,217,2.12,23,0.29,0,0,,,
Marquise Brown,WR,OKLA,16.2,16.2,20.3,,,0,0,96,0.72,,,
Frankie Hickson,RB,LIB,17,17,20.3,,,112,0.54,11,0.15,,,
Brent Stockstill,QB,MTSU,18.7,18.7,20.2,249,1.98,20,0.16,0,0,,,
Adrian Martinez,QB,NEB,18.6,18.6,20.1,246,1.34,40,0.28,0,0,,,
Justin McMillan,QB,TULANE,18.7,18.7,20.1,256,1.54,19,0.32,0,0,,,
Papi White,RB,OHIO,17.1,17.1,20.1,,,29,0.28,72,0.64,,,
Kirk Merritt,WR,ARKST,15.4,15.4,20,,,0,0,82,0.65,,,
Ryan Willis,QB,VATECH,18.9,18.9,20,217,1.71,31,0.36,0,0,,,
Jake Bentley,QB,SC,18.5,18.5,19.9,260,1.89,14,0.08,0,0,,,
Joshua Kelley,RB,UCLA,17.4,17.4,19.8,,,79,0.89,25,0.09,,,
Ryan Agnew,QB,SDGST,18.4,18.4,19.7,252,1.98,13,0.06,0,0,,,
Lil'Jordan Humphrey,WR,TEXAS,15.3,15.3,19.7,,,3,0.09,87,0.43,,,
Tyler Wiegers,QB,EMICH,17.8,17.8,19.6,249,2.05,11,0.13,0,0,,,
Cody Thompson,WR,TOLEDO,16.6,16.6,19.4,,,0,0,72,1.24,,,
Seth Boomer,QB,TULSA,17.8,17.8,19.4,253,1.7,23,0.09,0,0,,,
Jack Abraham,QB,USM,17.3,17.3,19.4,285,1.55,6,0.24,0,0,,,
Isaiah Sanders,QB,AF,19,19,19.4,141,1.06,73,0.53,0,0,,,
