player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Tyler Vaughns,WR,USC,8.4,8.4,10.4,,,0,0,46,0.33,,,
Kasim Hill,QB,MD,10.1,10.1,10.4,150,1.47,-2,0.02,0,0,,,
D.J. Knox,RB,PURDUE,9.4,9.4,10.4,,,44,0.43,14,0.07,,,
Tony Ellison,WR,ARIZ,8.9,8.9,10.4,,,1,0.02,47,0.42,,,
Quardraiz Wadley,RB,UTEP,9.3,9.3,10.4,,,48,0.2,18,0.19,,,
Georgia,DEF,UGA,12,10.4,10.4,,,0,0,0,0,17.1,2.04,1.23
Utah State,DEF,UTAHST,11.3,10.3,10.3,,,0,0,0,0,21.5,1.46,1.27
Caleb Wilson,TE,UCLA,8.2,8.2,10.3,,,0,0,54,0.18,,,
Tre Watson,RB,TEXAS,9,9,10.2,,,41,0.24,16,0.22,,,
Malik Roberson,RB,SJST,9.3,9.3,10.2,,,29,0.5,15,0.21,,,
Keenan Barnes,WR,LALAF,8.8,8.8,10.2,,,0,0,47,0.46,,,
Jaylen Smith,WR,LVILLE,8.3,8.3,10.2,,,0,0,52,0.26,,,
D'Andre Swift,RB,UGA,9.3,9.3,10.1,,,50,0.32,14,0.11,,,
San Diego State,DEF,SDGST,11.3,10.1,10.1,,,0,0,0,0,18.5,1.29,1.62
KJ Hamler,WR,PSU,8.7,8.7,10.1,,,2,0.07,41,0.45,,,
Indiana,DEF,IND,11.8,10.1,10.1,,,0,0,0,0,25.1,2.44,1.68
T.J. Vasher,WR,TXTECH,8.4,8.4,10,,,0,0,46,0.37,,,
Fred Trevillion,WR,SDGST,8.1,8.1,10,,,1,0,55,0.15,,,
Kendall Parham,WR,UAB,8.8,8.8,10,,,5,0.3,41,0.17,,,
Harrison Bryant,TE,FAU,8.4,8.4,10,,,0,0,42,0.45,,,
Landon Wolf,WR,OKLAST,8.1,8.1,10,,,1,0,44,0.3,,,
Reggie Corbin,RB,ILL,8.9,8.9,10,,,53,0.35,12,0.04,,,
Alize Mack,TE,ND,8,8,10,,,0,0,46,0.25,,,
Squally Canada,RB,BYU,9.2,9.2,10,,,40,0.55,11,0.06,,,
Kyle Buss,WR,UCONN,8.1,8.1,10,,,0,0,52,0.27,,,
Delane Hart-Johnson,WR,NMEX,8.4,8.4,10,,,0,0,42,0.48,,,
Lynn Bowden,WR,UK,7.9,7.9,9.9,,,1,0,37,0.51,,,
Antonio Williams,RB,UNC,8.9,8.9,9.9,,,44,0.4,11,0.06,,,
McLane Mannix,WR,NEVADA,8.1,8.1,9.9,,,1,0,46,0.27,,,
USC,DEF,USC,12,9.9,9.9,,,0,0,0,0,26.7,3.66,1.72
Kylin Hill,RB,MISSST,8.9,8.9,9.9,,,54,0.2,8,0.14,,,
Hergy Mayala,WR,UCONN,7.9,7.9,9.9,,,0,0,49,0.21,,,
North Carolina,DEF,UNC,11.5,9.8,9.8,,,0,0,0,0,25.9,3.08,1.42
Andre Wilson,WR,UAB,8.2,8.2,9.8,,,2,0,40,0.48,,,
Chris Finke,WR,ND,7.9,7.9,9.8,,,1,0,50,0.23,,,
Darrin Hall,RB,PITT,8.9,8.9,9.6,,,42,0.49,10,0.03,,,
Moe Neal,WR,CUSE,8.4,8.4,9.6,,,42,0.16,17,0.14,,,
Victor Tucker,WR,CHARLO,7.5,7.5,9.6,,,0,0,46,0.16,,,
Jake Luton,QB,OREGST,9.1,9.1,9.6,167,0.97,1,0.03,0,0,,,
Patrick Smith,WR,MTSU,7.7,7.7,9.6,,,0,0,40,0.33,,,
Johnathon Johnson,WR,MIZZOU,7.7,7.7,9.6,,,1,0,48,0.23,,,
Keylon Stokes,WR,TULSA,8,8,9.5,,,6,0.01,50,0.17,,,
Seth Green,WR,MINN,9.3,9.3,9.5,,,20,1.05,6,0.04,,,
Lopini Katoa,RB,BYU,7.7,7.7,9.5,,,27,0.22,20,0.14,,,
Quartney Davis,WR,TXAM,7.4,7.4,9.4,,,1,0,45,0.27,,,
Vic Wharton III,WR,CAL,6.9,6.9,9.4,,,1,0,42,0.1,,,
Mississippi State,DEF,MISSST,11.3,9.4,9.4,,,0,0,0,0,21,2.77,1.24
Xavier Jones,RB,SMU,8.6,8.6,9.4,,,44,0.27,12,0.11,,,
Fresno State,DEF,FRESNO,11.1,9.4,9.4,,,0,0,0,0,16.5,2.17,1
Zavier Scott,WR,UCONN,7.7,7.7,9.4,,,19,0.04,27,0.27,,,
Anthony McFarland,RB,MD,8.5,8.5,9.3,,,53,0.21,14,0.02,,,
Connor Heyward,RB,MICHST,8.1,8.1,9.3,,,31,0.4,14,0.02,,,
Vavae Malepeai,RB,USC,8.9,8.9,9.3,,,32,0.8,4,0.02,,,
Xavier Ubosi,WR,UAB,8.3,8.3,9.3,,,0,0,39,0.56,,,
Kerrith Whyte Jr.,RB,FAU,8.5,8.5,9.3,,,45,0.44,7,0.16,,,
Jeff Thomas,WR,MIAMI,7.8,7.8,9.3,,,1,0,50,0.25,,,
Tre Harbison,RB,NILL,8.1,8.1,9.3,,,41,0.3,12,0.08,,,
Darrell Stewart Jr.,WR,MICHST,7.5,7.5,9.3,,,5,0.01,39,0.22,,,
Army,DEF,ARMY,11.2,9.2,9.2,,,0,0,0,0,21.1,2.65,0.85
Penn State,DEF,PSU,10.5,9.2,9.2,,,0,0,0,0,17.3,2.02,0.71
Jakobi Meyers,WR,NCST,7.2,7.2,9.1,,,0,0,43,0.18,,,
Iowa State,DEF,IOWAST,11.1,9.1,9.1,,,0,0,0,0,22.8,3.46,1.18
South Carolina,DEF,SC,10.8,9.1,9.1,,,0,0,0,0,18.5,2.21,0.76
Peyton Bender,QB,KANSAS,8.9,8.9,9.1,169,1.08,-9,0,0,0,,,
Keenen Johnson,WR,TULSA,7.7,7.7,9.1,,,0,0,40,0.39,,,
Taye Barber,WR,TCU,7.4,7.4,9.1,,,1,0,38,0.3,,,
Elijah Holyfield,RB,UGA,8.5,8.5,9.1,,,59,0.33,4,0.02,,,
Morgan Ellison,RB,IND,7.8,7.8,9,,,51,0.42,6,0.02,,,
Da'Leon Ward,RB,TXTECH,7.8,7.8,9,,,29,0.34,16,0.08,,,
Nick Westbrook,WR,IND,7.4,7.4,9,,,0,0.02,40,0.28,,,
Utah,DEF,UTAH,11.1,9,9,,,0,0,0,0,23.8,2.8,1.07
Dae Williams,RB,LVILLE,8.5,8.5,9,,,44,0.61,1,0.02,,,
Theo Howard,WR,UCLA,7.3,7.3,9,,,0,0,41,0.28,,,
Steven Sims Jr.,WR,KANSAS,7,7,9,,,2,0,36,0.24,,,
Luke Langdon,QB,ARMY,8.9,8.9,8.9,68,0.89,20,0.19,0,0,,,
Timothy Wilson Jr.,WR,SDGST,7.7,7.7,8.9,,,0,0,37,0.46,,,
Justin Hobbs,WR,TULSA,7.2,7.2,8.9,,,0,0,47,0.22,,,
Tez Parks,RB,USM,7.7,7.7,8.9,,,22,0.35,19,0.17,,,
Shaq Vann,RB,EMICH,7.9,7.9,8.9,,,43,0.29,10,0.07,,,
Randall St. Felix,WR,SFLA,7.1,7.1,8.9,,,0,0,48,0.25,,,
Royce Caldwell,WR,NMEXST,7.5,7.5,8.9,,,14,0.02,34,0.26,,,
Hasise Dubois,WR,UVA,7,7,8.9,,,0,0,41,0.18,,,
Jonathan Adams Jr.,WR,ARKST,7.8,7.8,8.9,,,0,0,40,0.48,,,
Taivon Jacobs,WR,MD,7.5,7.5,8.9,,,3,0.01,34,0.38,,,
Joshua Samuel,RB,WKY,8,8,8.8,,,59,0.29,4,0.02,,,
Michael Pittman Jr.,WR,USC,7.7,7.7,8.8,,,1,0,40,0.4,,,
Quin Jernighan,WR,WKY,7,7,8.8,,,0,0,42,0.16,,,
Tyron Johnson,WR,OKLAST,7.7,7.7,8.8,,,0,0.08,43,0.31,,,
Oregon,DEF,OREG,11.1,8.8,8.8,,,0,0,0,0,27.9,2.42,1.76
Purdue,DEF,PURDUE,10.7,8.8,8.8,,,0,0,0,0,19.4,2.41,1.16
Frank Darby,WR,ARIZST,7.4,7.4,8.8,,,0,0.03,48,0.19,,,
Mason Hays,WR,TXSTSM,7.4,7.4,8.8,,,0,0,39,0.36,,,
Duke,DEF,DUKE,10.9,8.8,8.8,,,0,0,0,0,25.5,2.43,1.23
Javonis Isaac,TE,ARKST,7,7,8.8,,,0,0,40,0.34,,,
Central Michigan,DEF,CMICH,10.7,8.8,8.8,,,0,0,0,0,19.5,2.55,1.11
Northern Illinois,DEF,NILL,10.8,8.8,8.8,,,0,0,0,0,21.1,2.36,1.14
Boise State,DEF,BOISE,10.1,8.8,8.8,,,0,0,0,0,20,1.45,0.75
Ahmari Davis,RB,NMEX,8.4,8.4,8.8,,,41,0.65,1,0.03,,,
T.J. Hockenson,TE,IOWA,7.3,7.3,8.7,,,0,0.1,41,0.22,,,
Taj Harris,WR,CUSE,7,7,8.7,,,0,0,48,0.11,,,
Vanderbilt,DEF,VANDY,10.8,8.7,8.7,,,0,0,0,0,24.6,2.04,1.36
Drew Dan,WR,NMEXST,7.4,7.4,8.7,,,0,0,40,0.36,,,
Trey Smith,RB,LVILLE,7.7,7.7,8.7,,,42,0.22,13,0.09,,,
North Carolina State,DEF,NCST,10.9,8.7,8.7,,,0,0,0,0,28.4,2.94,1.39
DeAndre McNeal,WR,FAU,7.4,7.4,8.7,,,0,0,38,0.37,,,
Texas A&amp;M,DEF,TXAM,10.2,8.7,8.7,,,0,0,0,0,19.7,2.32,1.15
Marcus Bennett,WR,AF,7.5,7.5,8.7,,,0,0,44,0.34,,,
Donnie Lee,RB,UAB,7.7,7.7,8.6,,,34,0.3,15,0.09,,,
Ryheem Malone,WR,LALAF,7.1,7.1,8.6,,,2,0,40,0.23,,,
Jordan Scarlett,RB,FLA,7.8,7.8,8.6,,,47,0.29,8,0.05,,,
Ricky Person,RB,NCST,7.2,7.2,8.6,,,70,0.11,2,0.02,,,
Florida State,DEF,FSU,10.7,8.6,8.6,,,0,0,0,0,26.8,2.7,1.44
Robert Brown Jr.,RB,TXSTSM,7.9,7.9,8.6,,,40,0.39,8,0.03,,,
Southern Methodist,DEF,SMU,10.7,8.6,8.6,,,0,0,0,0,28.9,2.33,1.41
Napoleon Maxwell,RB,FIU,7.9,7.9,8.6,,,53,0.33,3,0.02,,,
Toa Taua,RB,NEVADA,7.6,7.6,8.6,,,39,0.3,10,0.07,,,
Gino Appleberry Jr.,RB,WKY,8.2,8.2,8.5,,,22,0.87,5,0.02,,,
Jaylon Redd,WR,OREG,7.5,7.5,8.5,,,4,0.03,31,0.48,,,
Kendal Keys,WR,UNLV,7.2,7.2,8.5,,,0,0,34,0.42,,,
Florida,DEF,FLA,10.6,8.5,8.5,,,0,0,0,0,26.5,2.28,1.35
Tee Higgins,WR,CLEM,7.2,7.2,8.5,,,0,0,40,0.31,,,
Akron,DEF,AKRON,10.6,8.5,8.5,,,0,0,0,0,24.6,1.35,1.62
UCLA,DEF,UCLA,10.7,8.5,8.5,,,0,0,0,0,25,2.83,0.88
Oklahoma State,DEF,OKLAST,10.4,8.4,8.4,,,0,0,0,0,26.1,3.52,1
Mitchell Wilcox,TE,SFLA,6.7,6.7,8.4,,,0,0,44,0.16,,,
Cam Chambers,WR,MICHST,7,7,8.4,,,0,0,47,0.15,,,
Jamauri Wakefield,RB,VANDY,7.8,7.8,8.4,,,56,0.28,5,0.02,,,
Wake Forest,DEF,WAKE,10.6,8.4,8.4,,,0,0,0,0,28.1,2.5,1.21
Luke Timian,WR,IND,6.4,6.4,8.4,,,0,0,36,0.13,,,
Javon Thomas,RB,TULSA,7.6,7.6,8.4,,,62,0.11,3,0.01,,,
Miami (Fla.),DEF,MIAMI,10.6,8.4,8.4,,,0,0,0,0,26.2,2.42,1.17
Nykeim Johnson,WR,CUSE,6.8,6.8,8.4,,,2,0.01,40,0.18,,,
Kendrick Rogers,WR,TXAM,6.8,6.8,8.4,,,0,0,38,0.25,,,
Minnesota,DEF,MINN,10.5,8.4,8.4,,,0,0,0,0,25.7,2.3,1.01
Sage Surratt,WR,WAKE,7,7,8.4,,,0,0,40,0.27,,,
Nevada,DEF,NEVADA,10.7,8.4,8.4,,,0,0,0,0,29.3,3.26,0.77
David Bailey,RB,BC,8,8,8.4,,,49,0.46,2,0.02,,,
Rashad Medaris,WR,CINCY,7.2,7.2,8.3,,,0,0,39,0.38,,,
Southern Mississippi,DEF,USM,10.3,8.3,8.3,,,0,0,0,0,20.8,2.14,1.19
K.D. Nixon,WR,COLO,6.2,6.2,8.3,,,1,0.01,44,0.16,,,
Mike Epstein,RB,ILL,7.6,7.6,8.3,,,39,0.27,14,0.01,,,
Brigham Young,DEF,BYU,10.2,8.3,8.3,,,0,0,0,0,19.6,1.68,1.08
Anthony Ratliff-Williams,WR,UNC,6.9,6.9,8.3,,,3,0,40,0.24,,,
Pittsburgh,DEF,PITT,9.8,8.3,8.3,,,0,0,0,0,21.6,1.99,0.81
Line Latu,WR,EMICH,7,7,8.3,,,1,0,40,0.27,,,
Jordan Fredericks,RB,MA,7.4,7.4,8.2,,,41,0.15,12,0.14,,,
Arkansas State,DEF,ARKST,10.3,8.2,8.2,,,0,0,0,0,28.7,3.08,1.34
Massachusetts,DEF,MA,9.7,8.2,8.2,,,0,0,0,0,25.9,1.99,1.23
Isaiah Bowser,RB,NWEST,7.3,7.3,8.2,,,33,0.32,12,0.06,,,
Stephen Carr,RB,USC,7.2,7.2,8.2,,,52,0.14,7,0.02,,,
Kell Walker,RB,ARMY,7.4,7.4,8.2,,,51,0.13,15,0.01,,,
Michigan State,DEF,MICHST,10,8.1,8.1,,,0,0,0,0,19.4,1.79,1.04
Shi Smith,WR,SC,6.8,6.8,8.1,,,0,0,39,0.27,,,
Khari Blasingame,RB,VANDY,7.3,7.3,8.1,,,35,0.25,15,0.02,,,
Nyqwan Murray,WR,FSU,6.5,6.5,8.1,,,0,0.01,40,0.23,,,
Ian Eriksen,RB,EMICH,7.5,7.5,8.1,,,42,0.33,9,0.02,,,
Will Knight,RB,ODU,7.5,7.5,8.1,,,40,0.27,12,0.02,,,
Rashod Bateman,WR,MINN,6.6,6.6,8.1,,,0,0,31,0.34,,,
Notre Dame,DEF,ND,9.8,8.1,8.1,,,0,0,0,0,17.9,1.36,0.86
Ta'Zhawn Henry,RB,TXTECH,6.9,6.9,8.1,,,24,0.32,14,0.02,,,
Kwadarrius Smith,WR,AKRON,6.5,6.5,8.1,,,1,0.01,39,0.24,,,
DeeJay Dallas,WR,MIAMI,7.7,7.7,8.1,,,44,0.26,10,0.06,,,
Kentucky,DEF,UK,10.2,8.1,8.1,,,0,0,0,0,25,1.96,1.15
Justyn Ross,WR,CLEM,6.8,6.8,8,,,0,0,38,0.3,,,
Trevon Bradford,WR,OREGST,6.6,6.6,8,,,7,0.01,28,0.3,,,
Kaleb Fossum,WR,NEVADA,5.8,5.8,8,,,-1,0,36,0.11,,,
Arkansas,DEF,ARK,10,8,8,,,0,0,0,0,22.4,2.45,0.9
Sadiq Palmer,WR,MA,6.7,6.7,8,,,0,0.05,39,0.21,,,
Texas State,DEF,TXSTSM,10.4,8,8,,,0,0,0,0,31,2.11,1.41
Jonathan Ward,RB,CMICH,6.8,6.8,8,,,33,0.16,14,0.09,,,
Cincinnati,DEF,CINCY,10.2,8,8,,,0,0,0,0,26.8,1.81,1.75
Deondre Francois,QB,FSU,7.7,7.7,8,151,0.77,0,0.09,0,0,,,
Lamical Perine,RB,FLA,7.2,7.2,8,,,39,0.26,15,0.02,,,
Dennis Robinson,WR,NILL,6.4,6.4,7.9,,,0,0,31,0.28,,,
Gatlin Casey,WR,MTSU,6.4,6.4,7.9,,,0,0,32,0.29,,,
Cam Akers,RB,FSU,7.2,7.2,7.9,,,45,0.26,8,0.04,,,
Ty Jones,WR,WASH,6.8,6.8,7.9,,,0,0,34,0.38,,,
Bryce Roberts,TE,NMEXST,6.3,6.3,7.9,,,0,0,30,0.29,,,
Charles Williams,RB,UNLV,7.2,7.2,7.9,,,60,0.13,1,0.02,,,
Tim Jordan,RB,TENN,7.1,7.1,7.8,,,36,0.32,9,0.06,,,
Trenton Irwin,WR,STNFRD,5.9,5.9,7.8,,,0,0,34,0.17,,,
Austin Maloney,WR,FIU,6.6,6.6,7.8,,,0,0,38,0.27,,,
Jarrison Stewart,WR,TCU,6.1,6.1,7.8,,,1,0,35,0.15,,,
Emeka Emezie,WR,NCST,6.4,6.4,7.8,,,0,0,34,0.32,,,
Austin Trammell,WR,RICE,6.2,6.2,7.8,,,2,0,39,0.11,,,
Cade Otton,TE,WASH,6.4,6.4,7.8,,,0,0,34,0.28,,,
Jamire Jordan,WR,FRESNO,6.3,6.3,7.8,,,2,0.02,44,0.11,,,
Mike Harley,WR,MIAMI,6.2,6.2,7.8,,,0,0,38,0.15,,,
Johnathan Lloyd,WR,DUKE,6.2,6.2,7.7,,,0,0,32,0.24,,,
Isaac Zico,WR,PURDUE,6.1,6.1,7.7,,,0,0,41,0.23,,,
Donavan Hale,WR,IND,6.4,6.4,7.7,,,0,0,30,0.34,,,
Destin Coates,RB,GAST,6.7,6.7,7.7,,,25,0.15,22,0.02,,,
Jonah Morris,WR,AKRON,6.1,6.1,7.7,,,0,0,37,0.15,,,
Deshaunte Jones,WR,IOWAST,6.1,6.1,7.7,,,1,0,33,0.22,,,
Jake Ferguson,TE,WISC,6.4,6.4,7.6,,,0,0,38,0.23,,,
CT Thomas,WR,BOISE,6.3,6.3,7.6,,,1,0,38,0.18,,,
James Price,WR,WYO,6.6,6.6,7.6,,,-1,0,38,0.31,,,
Raghib Ismail Jr.,WR,WYO,6.3,6.3,7.6,,,1,0,40,0.16,,,
Aeris Williams,RB,MISSST,7.1,7.1,7.6,,,51,0.18,6,0.01,,,
Tyler Badie,RB,MIZZOU,6.9,6.9,7.6,,,43,0.1,14,0.02,,,
Tulsa,DEF,TULSA,9.9,7.6,7.6,,,0,0,0,0,28.9,2.43,1.07
Hassan Hall,RB,LVILLE,6.5,6.5,7.6,,,38,0.22,12,0.02,,,
Mekhi Stevenson,WR,UNLV,6.3,6.3,7.6,,,0,0,39,0.19,,,
Tayon Fleet-Davis,RB,MD,7.2,7.2,7.6,,,30,0.32,8,0.22,,,
Tra Barnett,RB,GAST,6.7,6.7,7.6,,,27,0.35,9,0.08,,,
Gary Brightwell,RB,ARIZ,7.2,7.2,7.6,,,46,0.33,4,0.02,,,
Justin Holmes,WR,SJST,6.2,6.2,7.5,,,0,0,33,0.27,,,
Tre Walker,WR,SJST,6.2,6.2,7.5,,,0,0,46,0.11,,,
Isaiah Harper,WR,ODU,5.8,5.8,7.5,,,2,0,30,0.13,,,
Ja'Marcus Bradley,WR,LALAF,6.6,6.6,7.5,,,1,0,35,0.35,,,
Ke'Mon Freeman,RB,SMU,6.6,6.6,7.5,,,30,0.26,11,0.07,,,
Ivory Kelly-Martin,RB,IOWA,6.7,6.7,7.5,,,41,0.18,9,0.06,,,
Cornelius McCoy,WR,GAST,6.1,6.1,7.5,,,0,0,36,0.24,,,
Texas,DEF,TEXAS,9.7,7.5,7.5,,,0,0,0,0,29.8,2.21,1.29
Dontae Strickland,RB,CUSE,6.7,6.7,7.5,,,30,0.27,12,0.04,,,
Raelon Singleton,WR,HOU,6.3,6.3,7.5,,,0,0,29,0.39,,,
Rhashid Bonnette,WR,LATECH,6.1,6.1,7.5,,,1,0,41,0.1,,,
Kaden Smith,TE,STNFRD,6,6,7.5,,,0,0,37,0.14,,,
Cameron Green,TE,NWEST,5.9,5.9,7.4,,,-1,0,29,0.3,,,
Jordan Asberry,RB,ARMY,7.1,7.1,7.4,,,22,0.13,10,0.49,,,
Wyoming,DEF,WYO,9.4,7.4,7.4,,,0,0,0,0,24.4,1.9,1.03
Cyrus Habibi-Likio,RB,OREG,7.2,7.2,7.4,,,7,0.97,4,0.02,,,
Salvon Ahmed,RB,WASH,7,7,7.4,,,38,0.4,5,0.01,,,
Aaron Young,WR,DUKE,6.1,6.1,7.4,,,0,0,34,0.26,,,
Michael Lawrence,WR,NTEXAS,6.1,6.1,7.3,,,0,0,37,0.22,,,
Florida International,DEF,FIU,9.3,7.3,7.3,,,0,0,0,0,27.8,1.95,1.06
Dax Raymond,TE,UTAHST,6.1,6.1,7.3,,,0,0,34,0.23,,,
Kam McKnight,WR,LATECH,6.8,6.8,7.3,,,19,0.5,10,0.08,,,
Nate Stewart,WR,AKRON,5.5,5.5,7.3,,,0,0,29,0.27,,,
Old Dominion,DEF,ODU,9.3,7.3,7.3,,,0,0,0,0,25.5,2.21,1.04
Anthony Muse,WR,NMEXST,5.8,5.8,7.3,,,0,0,30,0.22,,,
Stephon Huderson,RB,TULANE,6.7,6.7,7.3,,,42,0.1,14,0.02,,,
Noah Fant,TE,IOWA,6,6,7.2,,,0,0,24,0.39,,,
Hutch White,WR,TXSTSM,5.4,5.4,7.2,,,0,0,29,0.29,,,
Bennett Skowronek,WR,NWEST,5.8,5.8,7.2,,,0,0,36,0.16,,,
Juwann Winfree,WR,COLO,5.9,5.9,7.2,,,0,0,28,0.33,,,
Missouri,DEF,MIZZOU,9,7.2,7.2,,,0,0,0,0,21.4,1.43,0.95
Renard Bell,WR,WASHST,5.8,5.8,7.2,,,0,0,34,0.2,,,
Dayton Furuta,RB,HAWAII,5.9,5.9,7.2,,,34,0.17,12,0.07,,,
Tavonn Salter,WR,MTSU,5.9,5.9,7.2,,,0,0,38,0.14,,,
A.J. Taylor,WR,WISC,6.1,6.1,7.1,,,1,0,36,0.25,,,
Seth Paige,RB,GAST,6.7,6.7,7.1,,,34,0.41,7,0.02,,,
Dazz Newsome,WR,UNC,5.7,5.7,7.1,,,3,0.01,34,0.1,,,
Van Edwards Jr.,RB,AKRON,6.4,6.4,7.1,,,39,0.12,9,0.08,,,
Tyler Davis,WR,UCONN,6,6,7.1,,,0,0,26,0.39,,,
Ricky Smalling,WR,ILL,6.1,6.1,7.1,,,0,0,30,0.35,,,
Devon Spalding,RB,CMICH,5.8,5.8,7.1,,,21,0.19,18,0.02,,,
Samson Nacua,WR,UTAH,5.9,5.9,7.1,,,0,0,30,0.29,,,
DJ Turner,WR,MD,5.8,5.8,7,,,2,0.01,29,0.23,,,
Riley Ridley,WR,UGA,6,6,7,,,1,0,30,0.32,,,
Chatarius Atwell,WR,LVILLE,6.1,6.1,7,,,0,0,31,0.35,,,
Travis Dye,RB,OREG,6.4,6.4,7,,,51,0.15,4,0.02,,,
Zach Abey,RB,NAVY,6.8,6.8,7,,,36,0.55,1,0.02,,,
Terence Williams,RB,HOU,6.6,6.6,7,,,43,0.31,4,0.02,,,
Tennessee,DEF,TENN,9.3,7,7,,,0,0,0,0,27.9,2.2,1.05
Spencer Tears,WR,NILL,5.5,5.5,7,,,0,0,28,0.2,,,
JoJo Ward,WR,HAWAII,5.7,5.7,7,,,0,0,34,0.17,,,
Jordan Byrd,RB,SDGST,6.7,6.7,7,,,36,0.43,3,0.02,,,
Louisiana Tech,DEF,LATECH,9.4,7,7,,,0,0,0,0,34,1.86,1.49
Dontavius Butler-Jenkins,WR,PITT,5.1,5.1,7,,,0,0,25,0.14,,,
Oklahoma,DEF,OKLA,9,7,7,,,0,0,0,0,22.6,2.41,0.84
Austin Fort,TE,WYO,6.2,6.2,7,,,1,0.06,27,0.36,,,
Isaiah Hodgins,WR,OREGST,5.6,5.6,6.9,,,0,0,32,0.19,,,
UL Lafayette,DEF,LALAF,9.5,6.9,6.9,,,0,0,0,0,35.7,2.7,1.48
Ty'Son Williams,RB,SC,6.5,6.5,6.9,,,38,0.28,5,0.02,,,
Brycen Hopkins,TE,PURDUE,5.8,5.8,6.9,,,0,0,36,0.17,,,
Jordon Brown,RB,UNC,6,6,6.9,,,27,0.25,10,0.02,,,
Connor Slomka,RB,ARMY,6.8,6.8,6.9,,,42,0.4,1,0.01,,,
Jessie Britt,WR,MA,5.6,5.6,6.8,,,1,0,30,0.24,,,
Jacob Breeland,TE,OREG,5.9,5.9,6.8,,,0,0,31,0.31,,,
Tavaris Harrison,WR,FAU,5.6,5.6,6.8,,,0,0,38,0.09,,,
Andy Davidson,RB,ARMY,6.6,6.6,6.8,,,47,0.33,1,0.01,,,
Camron Buckley,WR,TXAM,5.6,5.6,6.8,,,0,0,38,0.1,,,
Maleek Williams,RB,ARK,6.6,6.6,6.8,,,31,0.5,3,0.02,,,
Evan Butts,TE,UVA,5.5,5.5,6.8,,,0,0,25,0.3,,,
Kelvin Smith,TE,NTEXAS,5.4,5.4,6.8,,,0,0,27,0.27,,,
Western Kentucky,DEF,WKY,8.7,6.8,6.8,,,0,0,0,0,24.9,1.25,1.11
Chase Cota,WR,UCLA,4.9,4.9,6.7,,,0,0,40,0.12,,,
Kahale Warring,TE,SDGST,5.4,5.4,6.7,,,0,0,26,0.26,,,
Cheyenne O'Grady,TE,ARK,5.6,5.6,6.7,,,0,0,26,0.33,,,
Taz Bateman,RB,GAST,5.9,5.9,6.7,,,28,0.08,20,0.02,,,
Marvin Kinsey Jr.,RB,COLOST,6,6,6.7,,,30,0.12,14,0.04,,,
Tony Brooks-James,RB,OREG,6.1,6.1,6.7,,,32,0.22,12,0.04,,,
Jauan Jennings,WR,TENN,5.4,5.4,6.7,,,0,0,29,0.19,,,
Maurice Alexander,WR,FIU,5.6,5.6,6.7,,,15,0.11,21,0.18,,,
Louisville,DEF,LVILLE,8.9,6.7,6.7,,,0,0,0,0,27.5,2.16,1.16
Tarique Milton,WR,IOWAST,5.2,5.2,6.7,,,0,0,33,0.14,,,
Michiah Quick,WR,FRESNO,5,5,6.7,,,0,0,26,0.14,,,
Illinois,DEF,ILL,8.8,6.7,6.7,,,0,0,0,0,25.8,2.01,1.04
Kadin Remsberg,RB,AF,6.1,6.1,6.7,,,44,0.28,0,0.04,,,
Mecole Hardman,WR,UGA,5.3,5.3,6.7,,,4,0.03,29,0.22,,,
Devin Duvernay,WR,TEXAS,5.3,5.3,6.7,,,0,0,33,0.13,,,
Lee Morris,WR,OKLA,6,6,6.7,,,0,0,26,0.45,,,
Ty Harmston,TE,NILL,5.4,5.4,6.6,,,0,0,25,0.28,,,
Jay MacIntyre,WR,COLO,5.4,5.4,6.6,,,1,0,25,0.31,,,
Ben Glines,WR,BC,6.1,6.1,6.6,,,31,0.33,5,0.13,,,
Ky'Jon Tyler,WR,CSTCAR,5.3,5.3,6.6,,,2,0,31,0.18,,,
Romello Brooker,TE,HOU,5.5,5.5,6.6,,,0,0,24,0.34,,,
Cameron Butler,TE,COLOST,5.3,5.3,6.6,,,0,0,31,0.17,,,
Jeshaun Jones,WR,MD,5.9,5.9,6.6,,,6,0.12,22,0.28,,,
Bruno Labelle,TE,CINCY,5.1,5.1,6.6,,,0,0,28,0.13,,,
Jaivon Heiligh,WR,CSTCAR,5.7,5.7,6.5,,,3,0,22,0.37,,,
Maurice Ways,WR,CAL,4.9,4.9,6.5,,,0,0,30,0.07,,,
Bryce Singleton,WR,FIU,5.2,5.2,6.5,,,0,0,33,0.12,,,
Connecticut,DEF,UCONN,9.1,6.5,6.5,,,0,0,0,0,35,2.88,0.72
Kyle Sweet,WR,WASHST,5,5,6.5,,,0,0,32,0.07,,,
Taj Griffin,WR,OREG,5.9,5.9,6.5,,,15,0.12,19,0.21,,,
Georgia State,DEF,GAST,8.3,6.5,6.5,,,0,0,0,0,27.9,2.47,0.59
Thayer Thomas,WR,NCST,4.9,4.9,6.5,,,2,0,32,0.14,,,
Northwestern,DEF,NWEST,8.5,6.5,6.5,,,0,0,0,0,22.5,1.24,1.13
John Bates,TE,BOISE,5.6,5.6,6.4,,,0,0,30,0.29,,,
Jalen Greene,WR,UTAHST,5.5,5.5,6.4,,,0,0,30,0.26,,,
