player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Cudjoe Young,WR,NTEXAS,3.7,3.7,4.5,,,0,0,23,0.1,,,
Brandon Childress,WR,CMICH,3.4,3.4,4.5,,,0,0,22,0.09,,,
Josh Hammond,WR,FLA,3.7,3.7,4.5,,,0,0,25,0.06,,,
Laress Nelson,WR,MICHST,3.6,3.6,4.5,,,0,0,21,0.1,,,
Geraud Sanders,WR,AF,3.8,3.8,4.5,,,0,0,24,0.11,,,
Jelani Woods,TE,OKLAST,3.7,3.7,4.5,,,0,0,21,0.14,,,
Cole Kmet,TE,ND,3.6,3.6,4.5,,,0,0,20,0.13,,,
Navy,DEF,NAVY,7.5,4.5,4.5,,,0,0,0,0,43.1,1.51,1.1
Stanley Berryhill III,WR,ARIZ,3.8,3.8,4.5,,,0,0,21,0.18,,,
Evan Owens,RB,UNLV,4.2,4.2,4.5,,,25,0.18,2,0.02,,,
Trey McBride,TE,COLOST,3.9,3.9,4.5,,,1,0.01,19,0.22,,,
Khalil Herbert,RB,KANSAS,4.1,4.1,4.5,,,25,0.19,3,0.01,,,
Dyami Brown,WR,UNC,3.6,3.6,4.5,,,0,0,18,0.18,,,
JaQuan Blackwell,WR,SJST,3.6,3.6,4.5,,,0,0,23,0.08,,,
Giovanni Fauolo,TE,UNLV,3.4,3.4,4.4,,,0,0,14,0.16,,,
Kobay White,WR,BC,3.7,3.7,4.4,,,0,0,17,0.22,,,
Sheldon Croney Jr.,RB,IOWAST,3.6,3.6,4.4,,,12,0.16,9,0.02,,,
John Okwoli,WR,WYO,3.7,3.7,4.4,,,0,0,20,0.17,,,
Daniel Barker,TE,ILL,3.3,3.3,4.4,,,0,0,18,0.09,,,
Kumehnnu Gwilly,RB,CMICH,3.8,3.8,4.4,,,21,0.17,5,0.02,,,
Kade Waguespack,TE,AF,3.8,3.8,4.4,,,0,0,16,0.3,,,
Brandon Wimbush,QB,ND,4.2,4.2,4.4,60,0.44,3,0.03,0,0,,,
Kyle Horn,TE,MA,3.4,3.4,4.3,,,0,0,17,0.15,,,
Brenden Schooler,WR,OREG,3.7,3.7,4.3,,,0,0,21,0.15,,,
C'Bo Flemister,RB,ND,4,4,4.3,,,21,0.18,6,0.03,,,
Daniel Helm,TE,DUKE,3.4,3.4,4.3,,,0,0,17,0.12,,,
A.D. Miller,WR,OKLA,3.6,3.6,4.3,,,0,0,14,0.32,,,
Andrew Van Buren,RB,BOISE,4,4,4.3,,,20,0.19,6,0.02,,,
Brady Bodine,RB,NCST,4,4,4.3,,,16,0.27,5,0.02,,,
James Cook,RB,UGA,3.9,3.9,4.3,,,21,0.09,9,0.02,,,
Mykel Jones,WR,OKLA,3.6,3.6,4.3,,,0,0,23,0.11,,,
JJ Jefferson,WR,NWEST,3.6,3.6,4.2,,,0,0,20,0.16,,,
Gerald Hearns,RB,FAU,4,4,4.2,,,25,0.13,4,0.02,,,
Tre' McKitty,TE,FSU,3.1,3.1,4.2,,,0,0,18,0.1,,,
David Lucero,TE,UTEP,3.4,3.4,4.2,,,0,0,15,0.2,,,
Isaac Nauta,TE,UGA,3.6,3.6,4.2,,,3,0.08,18,0.06,,,
Jaquarii Roberson,WR,WAKE,3.3,3.3,4.2,,,0,0,20,0.08,,,
Jahrvis Davenport,WR,MD,3.4,3.4,4.2,,,0,0,19,0.14,,,
Drake Stoops,WR,OKLA,3.4,3.4,4.2,,,0,0,17,0.14,,,
Trae Wells,TE,NEVADA,3.2,3.2,4.2,,,0,0,17,0.1,,,
Caleb Twyford,WR,TXSTSM,3.5,3.5,4.2,,,7,0.04,14,0.07,,,
Chuba Hubbard,RB,OKLAST,3.8,3.8,4.2,,,15,0.2,6,0.02,,,
Dylan Thomas,WR,COLO,3.4,3.4,4.2,,,0,0,23,0.08,,,
Zak Simon,WR,MA,3.4,3.4,4.2,,,0,0,23,0.07,,,
Jeremiah Haydel,WR,TXSTSM,3.5,3.5,4.2,,,0,0,15,0.24,,,
Carl Tucker,TE,UNC,3.3,3.3,4.2,,,0,0,18,0.09,,,
Mac Hippenhammer,WR,PSU,3.5,3.5,4.2,,,0,0,20,0.14,,,
Zach Austin,WR,TXTECH,2.8,2.8,4.2,,,0,0,18,0.06,,,
David Bouvier,WR,UK,3.6,3.6,4.2,,,0,0,20,0.18,,,
Charles McClelland,RB,CINCY,3.9,3.9,4.1,,,24,0.19,2,0.02,,,
Zamore Zigler,RB,SJST,3.8,3.8,4.1,,,20,0.14,5,0.05,,,
Blaise Gammon,TE,KSTATE,3.4,3.4,4.1,,,0,0,19,0.13,,,
Tamorrion Terry,WR,FSU,3.5,3.5,4.1,,,0,0,20,0.15,,,
Kailon Carter,WR,UAB,3.4,3.4,4.1,,,2,0,20,0.09,,,
Mike Majette,RB,IND,3.1,3.1,4.1,,,6,0.04,10,0.1,,,
Dorian Baker,WR,UK,3.5,3.5,4.1,,,0,0,22,0.11,,,
Landon Board,RB,MTSU,3.8,3.8,4.1,,,28,0.06,4,0.02,,,
Justin Silmon,RB,KSTATE,3.8,3.8,4.1,,,28,0.15,1,0.01,,,
Micah Simon,WR,BYU,3.5,3.5,4.1,,,3,0.01,20,0.08,,,
Kiel Pollard,TE,SC,3.2,3.2,4.1,,,0,0,13,0.17,,,
Javonte Williams,RB,UNC,3.2,3.2,4.1,,,8,0.05,11,0.02,,,
Terelle West,RB,MTSU,3.7,3.7,4.1,,,23,0.09,4,0.02,,,
Zach Reuter,WR,KSTATE,3.3,3.3,4.1,,,0,0,22,0.07,,,
T. J. Bedford,WR,TXSTSM,3.3,3.3,4.1,,,0,0,21,0.07,,,
Jarveon Howard,RB,CUSE,3.5,3.5,4.1,,,20,0.23,4,0.02,,,
Amari Rodgers,WR,CLEM,2.9,2.9,4.1,,,0,0,18,0.06,,,
Myles Tease,WR,OKLA,3.5,3.5,4.1,,,0,0,14,0.24,,,
Freddie Swain,WR,FLA,3.4,3.4,4.1,,,0,0,18,0.17,,,
Sam Pinckney,WR,GAST,3.4,3.4,4.1,,,0,0,24,0.06,,,
Khalil Shakir,WR,BOISE,3.6,3.6,4.1,,,9,0.14,10,0.07,,,
Air Force,DEF,AF,6.6,4.1,4.1,,,0,0,0,0,34.5,1.31,0.75
Mon Denson,RB,SC,3.8,3.8,4.1,,,14,0.3,4,0.02,,,
Breck Turner,RB,EMICH,3.5,3.5,4.1,,,16,0.14,7,0.02,,,
Daniel Young,RB,TEXAS,3.6,3.6,4.1,,,24,0.08,6,0.03,,,
Christian Hosley,RB,NTEXAS,3.7,3.7,4.1,,,9,0.17,13,0.03,,,
Brant Kuithe,TE,UTAH,3.3,3.3,4,,,0,0,19,0.12,,,
Texas-El Paso,DEF,UTEP,6.6,4,4,,,0,0,0,0,34.7,1.35,0.68
Jonathan Holland,TE,PSU,3,3,4,,,0,0,23,0.07,,,
