player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Nate Craig-Myers,WR,AUBURN,3.6,3.6,4.1,,,0,0,20,0.17,,,,
Westin Elliott,QB,LATECH,3.6,3.6,3.7,45,0.39,3,0.04,0,0,,,,
Jack Freudenthal,TE,WAKE,3.6,3.6,4.3,,,0,0,18,0.16,,,,
Reggie Gilliam,TE,TOLEDO,3.5,3.5,4.4,,,0,0,14,0.22,,,,
Demarcus Felton,RB,TXTECH,3.5,3.5,3.9,,,17,0.18,4,0.03,,,,
Ronnie Clark,TE,BAMA,3.5,3.5,3.9,,,11,0.04,11,0.11,,,,
Javonte Williams,RB,UNC,3.5,3.5,4.4,,,11,0.07,11,0.02,,,,
Bryson Denley,RB,BGREEN,3.5,3.5,4,,,18,0.07,8,0.02,,,,
Bubba Ogbebor,WR,ARKST,3.5,3.5,4.3,,,0,0,21,0.1,,,,
Mark Quattlebaum,WR,CHARLO,3.5,3.5,4.5,,,0,0,19,0.15,,,,
J-Shun Harris II,WR,IND,3.5,3.5,4.7,,,0,0,18,0.1,,,,
Zachari Jackson,WR,LAMON,3.5,3.5,4,,,0,0,18,0.2,,,,
Antonio Gibson,WR,MEMP,3.5,3.5,4,,,0,0,12,0.29,,,,
Colby Ransom,WR,GAS,3.5,3.5,4,,,0,0,17,0.22,,,,
Jabril Clewis,WR,TULANE,3.5,3.5,4.3,,,0,0,21,0.09,,,,
Kyle Riddering,TE,FRESNO,3.5,3.5,4.2,,,0,0,13,0.24,,,,
Jaelan Austin,WR,TCU,3.5,3.5,4.3,,,0,0,19,0.14,,,,
Stephen Louis,WR,NCST,3.5,3.5,4.3,,,1,0,23,0.04,,,,
Ronnie Walker Jr.,RB,IND,3.5,3.5,3.8,,,22,0.12,3,0.01,,,,
Earnest Patterson,WR,LALAF,3.5,3.5,4.2,,,0,0,22,0.08,,,,
Anselem Umeh,WR,NMEX,3.5,3.5,4.1,,,0,0,22,0.12,,,,
Nahshon Ellerbe,RB,RICE,3.4,3.4,3.7,,,19,0.2,3,0.01,,,,
Isaiah Woullard,RB,MISS,3.4,3.4,4,,,12,0.14,8,0.03,,,,
Austin Conway,WR,WYO,3.4,3.4,4.5,,,4,0.03,15,0.1,,,,
Trevon Sands,RB,SFLA,3.4,3.4,3.8,,,15,0.23,4,0.03,,,,
Christian Mallard,RB,AF,3.4,3.4,3.6,,,23,0.15,2,0.01,,,,
Sam Mays,WR,ILL,3.4,3.4,4.3,,,0,0,22,0.06,,,,
Landon Board,RB,MTSU,3.4,3.4,3.7,,,22,0.07,5,0.02,,,,
Zak Simon,WR,MA,3.4,3.4,4.1,,,0,0,22,0.09,,,,
Gerald Hearns,RB,FAU,3.4,3.4,3.6,,,21,0.12,4,0.02,,,,
Jaylin Nelson,RB,TXSTSM,3.4,3.4,3.7,,,23,0.11,4,0.02,,,,
Sihiem King,RB,UK,3.4,3.4,3.8,,,21,0.1,4,0.01,,,,
Terelle West,RB,MTSU,3.4,3.4,3.8,,,18,0.12,5,0.02,,,,
Kyle Horn,TE,MA,3.4,3.4,4.2,,,0,0,14,0.2,,,,
Trey Harrell,WR,KENTST,3.4,3.4,4.3,,,3,0,18,0.06,,,,
Daniel Barker,TE,ILL,3.4,3.4,4.5,,,0,0,19,0.08,,,,
Freddie Johnson,WR,TEMPLE,3.4,3.4,3.9,,,0,0,18,0.16,,,,
Isaiah Bowser,RB,NWEST,3.4,3.4,3.6,,,11,0.25,4,0.02,,,,
Chris Pierce,WR,VANDY,3.4,3.4,4.4,,,0,0,18,0.16,,,,
Tavin Richardson,WR,UK,3.3,3.3,4.1,,,0,0,21,0.07,,,,
Derrion Grim,WR,FRESNO,3.3,3.3,3.9,,,0,0,18,0.16,,,,
Kyle Schrank,TE,BALLST,3.3,3.3,4.1,,,0,0,17,0.15,,,,
Blake Wright,RB,NEVADA,3.3,3.3,3.6,,,16,0.19,3,0.02,,,,
Cole Neph,TE,TULSA,3.3,3.3,4.1,,,0,0,18,0.13,,,,
Stephen Sullivan,WR,LSU,3.3,3.3,4.1,,,3,0.02,18,0.06,,,,
Tru Wilson,RB,MICH,3.3,3.3,3.7,,,19,0.11,4,0.01,,,,
Zac Lefebvre,TE,BUFF,3.3,3.3,4.2,,,0,0,19,0.09,,,,
Thayer Thomas,WR,NCST,3.3,3.3,4.6,,,1,0,22,0.07,,,,
Rashod Berry,TE,OHIOST,3.3,3.3,3.9,,,0,0,13,0.26,,,,
Charles Lamar,WR,BGREEN,3.3,3.3,3.8,,,10,0.03,11,0.08,,,,
Connor Wedington,WR,STNFRD,3.3,3.3,4.2,,,1,0,16,0.09,,,,
Ja'Marr Chase,WR,LSU,3.3,3.3,3.9,,,0,0,17,0.17,,,,
Grant Calcaterra,TE,OKLA,3.3,3.3,4.2,,,0,0,22,0.17,,,,
Nolan Givan,TE,BALLST,3.3,3.3,4.3,,,0,0,14,0.16,,,,
Tyree Mayfield,TE,WYO,3.3,3.3,4.2,,,0,0,18,0.09,,,,
Will Matthews,RB,KENTST,3.3,3.3,3.7,,,18,0.06,8,0.01,,,,
Rashaad Boddie,RB,COLOST,3.3,3.3,3.5,,,16,0.18,4,0.02,,,,
Milan Richard,TE,CLEM,3.2,3.2,4.1,,,0,0,18,0.1,,,,
Trevon Sidney,WR,USC,3.2,3.2,4,,,0,0,23,0.04,,,,
Tristan Payton,WR,UCF,3.2,3.2,4,,,0,0,16,0.14,,,,
Mychal Cooper,WR,NAVY,3.2,3.2,3.6,,,0,0,16,0.21,,,,
Dylan Thomas,WR,COLO,3.2,3.2,4.1,,,0,0,21,0.03,,,,
Gabe Horan,TE,CUSE,3.2,3.2,3.9,,,0,0,11,0.24,,,,
Nick Orekoya,RB,MA,3.2,3.2,3.5,,,10,0.19,7,0.03,,,,
Javonte Woodard,WR,LATECH,3.2,3.2,3.8,,,0,0,20,0.1,,,,
Grant Perry,WR,MICH,3.2,3.2,4.2,,,0,0,17,0.09,,,,
Daniel Helm,TE,DUKE,3.2,3.2,4.1,,,0,0,16,0.13,,,,
Bernhard Raimann,TE,CMICH,3.2,3.2,4,,,0,0,15,0.15,,,,
Jacob Huesman,QB,APLST,3.2,3.2,3.3,39,0.41,2,0.02,0,0,,,,
Nate Wieting,TE,IOWA,3.2,3.2,3.8,,,0,0,21,0.08,,,,
Chris James,RB,WISC,3.2,3.2,3.4,,,20,0.11,3,0.02,,,,
Kyle Evans,RB,COLO,3.2,3.2,3.6,,,17,0.07,8,0.01,,,,
Asa Martin,RB,AUBURN,3.2,3.2,3.6,,,9,0.07,14,0.02,,,,
Journey Brown,RB,PSU,3.2,3.2,3.4,,,12,0.22,4,0.02,,,,
Tyrick James,TE,TULANE,3.2,3.2,4,,,0,0,19,0.09,,,,
Anthony Watley,TE,ECU,3.2,3.2,4.2,,,0,0,14,0.12,,,,
Emari Demercado,RB,TCU,3.2,3.2,3.5,,,17,0.1,5,0.03,,,,
Terrell Chatman,WR,ARIZST,3.2,3.2,3.9,,,0,0,14,0.18,,,,
Jeremiah Haydel,WR,TXSTSM,3.2,3.2,3.7,,,-1,0,17,0.18,,,,
Tanner Cowley,TE,UVA,3.2,3.2,4,,,0,0,21,0.05,,,,
Saevion Johnson,RB,FRESNO,3.1,3.1,3.4,,,10,0.22,5,0.02,,,,
Tylan Knight,RB,MISS,3.1,3.1,3.5,,,19,0.05,6,0.03,,,,
Perry Carter,WR,LAMON,3.1,3.1,3.8,,,0,0,21,0.06,,,,
TreVontae Hights,WR,TCU,3.1,3.1,3.7,,,0,0,17,0.15,,,,
Johnathan Thomas,RB,PSU,3.1,3.1,3.3,,,13,0.19,4,0.02,,,,
Davon Tucker,RB,WMICH,3.1,3.1,3.3,,,18,0.13,3,0.02,,,,
Jamil Sabbagh,WR,CMICH,3.1,3.1,3.6,,,1,0,14,0.2,,,,
John Samuel Shenker,TE,AUBURN,3.1,3.1,3.9,,,0,0,18,0.1,,,,
Kevrin Justice,RB,HOU,3.1,3.1,3.4,,,17,0.1,6,0.03,,,,
Tavares Kelly,WR,UVA,3.1,3.1,4.2,,,1,0,28,0.05,,,,
Sean McKeon,TE,MICH,3.1,3.1,3.9,,,0,0,15,0.14,,,,
Brett Kean,QB,SFLA,3.1,3.1,3.2,41,0.38,0,0.02,0,0,,,,
Hunter Thedford,TE,SMU,3.1,3.1,4.1,,,0,0,13,0.14,,,,
SaRodorick Thompson,RB,TXTECH,3.1,3.1,3.4,,,13,0.12,6,0.03,,,,
Bryce Kemp,TE,EMICH,3.1,3.1,3.6,,,0,0,18,0.13,,,,
Dalton Rigdon,WR,TXTECH,3.1,3.1,3.8,,,0,0,18,0.09,,,,
Keegan Brewer,WR,NTEXAS,3.1,3.1,3.9,,,0,0,19,0.06,,,,
DeVaughn Cooper,WR,ARIZ,3.1,3.1,3.9,,,0,0,19,0.06,,,,
Jayshon Jackson,WR,CINCY,3,3,4,,,0,0,13,0.14,,,,
Mykel Jones,WR,OKLA,3,3,3.6,,,0,0,20,0.08,,,,
Terrell Green,WR,ECU,3,3,3.8,,,0,0,19,0.05,,,,
Derek Kief,WR,BAMA,3,3,3.6,,,0,0,13,0.2,,,,
Shaun Shivers,RB,AUBURN,3,3,3.3,,,13,0.18,4,0.02,,,,
Drake Harris,WR,MICH,3,3,3.9,,,0,0,15,0.1,,,,
Jeremiah Hawkins,WR,CAL,3,3,3.6,,,4,0,16,0.08,,,,
Jeremy Patton,TE,ARK,3,3,3.6,,,0,0,19,0.08,,,,
Jeremy Singleton,WR,HOU,3,3,3.9,,,0,0,17,0.08,,,,
Charles Jones II,TE,TULANE,3,3,4.1,,,0,0,11,0.15,,,,
Sam Pinckney,WR,GAST,3,3,3.6,,,0,0,22,0.04,,,,
Marquez Trigg,RB,WKY,3,3,3.3,,,18,0.1,4,0.02,,,,
Trevion Armstrong,WR,NEVADA,3,3,3.6,,,0,0,11,0.21,,,,
Chico McClatcher,WR,WASH,3,3,3.8,,,4,0.02,18,0.07,,,,
Jordan Jones,WR,ARK,3,3,3.5,,,3,0,15,0.1,,,,
Calvin Camp,WR,CHARLO,3,3,3.5,,,19,0.05,6,0.04,,,,
Larry Collins Jr.,WR,CSTCAR,3,3,3.6,,,0,0,17,0.1,,,,
Jevon Bigelow,RB,WYO,3,3,4.1,,,27,0.3,2,0.01,,,,
Jaylon Bester,WR,MIAOH,3,3,3.5,,,11,0.06,7,0.05,,,,
Nate Becker,TE,MIAOH,3,3,3.6,,,0,0,20,0.05,,,,
Marquez Callaway,WR,TENN,3,3,4.1,,,0,0,23,0.05,,,,
Chris Myarick,TE,TEMPLE,3,3,3.7,,,0,0,16,0.1,,,,
Beau Corrales,WR,UNC,2.9,2.9,3.5,,,0,0,15,0.16,,,,
Malik Murray,WR,GAS,2.9,2.9,3.4,,,1,0,19,0.08,,,,
Dymond Lee,WR,UCLA,2.9,2.9,3.7,,,0,0,14,0.12,,,,
Artice Hobbs IV,RB,ARMY,2.9,2.9,3.1,,,16,0.12,5,0.01,,,,
Josh Crawford,RB,VANDY,2.9,2.9,3.3,,,8,0.2,6,0.01,,,,
Kirk Johnson Jr.,WR,TXSA,2.9,2.9,4.1,,,0,0,17,0.08,,,,
Osiris St. Brown,WR,STNFRD,2.9,2.9,3.5,,,0,0,20,0.06,,,,
R.J. Tyler,TE,CHARLO,2.9,2.9,3.6,,,0,0,11,0.18,,,,
David Lucero,TE,UTEP,2.9,2.9,3.7,,,0,0,13,0.15,,,,
Jelani Roberts,WR,NWEST,2.9,2.9,3.5,,,7,0.12,7,0.06,,,,
Mike Majette,RB,IND,2.9,2.9,3.8,,,6,0.04,8,0.08,,,,
Keyion Dixon,WR,UCONN,2.9,2.9,3.5,,,1,0,15,0.11,,,,
Kailon Carter,WR,UAB,2.9,2.9,3.4,,,2,0,18,0.06,,,,
Drayton Law,WR,CMICH,2.9,2.9,3.5,,,0,0,19,0.06,,,,
T.J. Pledger,RB,OKLA,2.9,2.9,3.1,,,17,0.08,4,0.02,,,,
Rontavius Groves,WR,UNC,2.9,2.9,3.4,,,0,0,21,0.04,,,,
Ramaud Chiaokhiao-Bowman,WR,NWEST,2.9,2.9,3.9,,,0,0,17,0.06,,,,
Quan Hampton,WR,KANSAS,2.8,2.8,3.7,,,1,0,15,0.06,,,,
Markice Hurt Jr.,RB,BALLST,2.8,2.8,3.1,,,20,0.06,3,0.01,,,,
Tre Walker,RB,NAVY,2.8,2.8,3.1,,,13,0.08,3,0.17,,,,
Brandon Sowards,WR,MICHST,2.8,2.8,3.5,,,0,0,19,0.05,,,,
Tariq Woolen,WR,TXSA,2.8,2.8,3.5,,,0,0,19,0.05,,,,
Amir Rasul,RB,FSU,2.8,2.8,3.1,,,12,0.24,0,0.02,,,,
Velus Jones Jr.,WR,USC,2.8,2.8,3.5,,,1,0,18,0.04,,,,
John Okwoli,WR,WYO,2.8,2.8,3.5,,,0,0,14,0.13,,,,
Brodrick Yancy,WR,TEMPLE,2.8,2.8,3.5,,,0,0,20,0.04,,,,
Deltron Sands,RB,AKRON,2.8,2.8,3.2,,,21,0.12,1,0.02,,,,
Cudjoe Young,WR,NTEXAS,2.8,2.8,3.5,,,0,0,18,0.06,,,,
Ray Hudson,TE,CAL,2.8,2.8,3.3,,,0,0,13,0.16,,,,
Brendan Harmon,WR,RICE,2.8,2.8,3.5,,,0,0,11,0.16,,,,
Jahrvis Davenport,WR,MD,2.8,2.8,3.6,,,0,0,16,0.09,,,,
Myles Tease,WR,OKLA,2.8,2.8,3.3,,,0,0,13,0.17,,,,
Ceejhay French-Love,TE,ARIZST,2.8,2.8,3.5,,,0,0,17,0.07,,,,
Calvin Jackson Jr.,WR,WASHST,2.8,2.8,3.6,,,0,0,13,0.1,,,,
Tyler Petite,TE,USC,2.8,2.8,3.4,,,0,0,15,0.12,,,,
Diondre Overton,WR,CLEM,2.7,2.7,3.4,,,0,0,11,0.17,,,,
D'Marius Gillespie,WR,LAMON,2.7,2.7,3.3,,,0,0,17,0.09,,,,
Foster Moreau,TE,LSU,2.7,2.7,3.4,,,0,0,16,0.09,,,,
Patrick Reed,WR,NMEX,2.7,2.7,3.1,,,2,0.01,13,0.15,,,,
Logan Hessbrook,TE,CMICH,2.7,2.7,3.3,,,0,0,16,0.09,,,,
Tre'shaun Harrison,WR,FSU,2.7,2.7,3.4,,,3,0,13,0.07,,,,
Thomas Geddis,WR,CINCY,2.7,2.7,3.6,,,0,0,16,0.05,,,,
Phillip Howard,WR,MINN,2.7,2.7,3.5,,,1,0,14,0.08,,,,
Davion Johnson,RB,MIAOH,2.7,2.7,3,,,19,0.08,2,0.01,,,,
Giovanni Fauolo,TE,UNLV,2.7,2.7,3.6,,,0,0,8,0.16,,,,
Sal Cannella,TE,AUBURN,2.7,2.7,3.3,,,0,0,10,0.19,,,,
Christian Hosley,RB,NTEXAS,2.7,2.7,3,,,7,0.1,11,0.02,,,,
A.D. Miller,WR,OKLA,2.7,2.7,3.4,,,0,0,12,0.22,,,,
Kenny Yeboah,TE,TEMPLE,2.7,2.7,3.3,,,0,0,14,0.11,,,,
Drake Stoops,WR,OKLA,2.7,2.7,3.4,,,0,0,14,0.1,,,,
Daiyan Henley,WR,NEVADA,2.7,2.7,3.3,,,0,0,16,0.14,,,,
Xazavian Valladay,RB,WYO,2.7,2.7,2.8,,,20,0.06,2,0.01,,,,
Willie Parker,RB,EMICH,2.7,2.7,2.9,,,12,0.14,4,0.02,,,,
Davis Koppenhaver,TE,DUKE,2.7,2.7,3.3,,,0,0,9,0.2,,,,
Keion White,TE,ODU,2.6,2.6,3.3,,,0,0,17,0.05,,,,
Jalen Hurts,QB,BAMA,2.6,2.6,3,27,0.29,7,0.06,0,0,,,,
Ryan Jenkins,WR,ARIZST,2.6,2.6,3.4,,,0,0,15,0.06,,,,
Amare Jones,RB,TULANE,2.6,2.6,2.9,,,12,0.11,5,0.02,,,,
Kyle Philips,WR,UCLA,2.6,2.6,3.4,,,0,0,11,0.12,,,,
Nick Basquine,WR,OKLA,2.6,2.6,3.2,,,0,0,15,0.08,,,,
Eltoro Allen,RB,UTAHST,2.6,2.6,3.1,,,12,0.12,6,0.02,,,,
Devan Stubblefield,WR,HAWAII,2.6,2.6,3.1,,,0,0,16,0.08,,,,
Roger Carter,TE,GAST,2.6,2.6,3.1,,,0,0,13,0.14,,,,
Sandon McCoy,RB,ARMY,2.6,2.6,2.7,,,17,0.12,1,0.01,,,,
Josh Palmer,WR,TENN,2.6,2.6,3.2,,,1,0,15,0.06,,,,
Marcus Williams,TE,NMEX,2.6,2.6,3.2,,,0,0,12,0.14,,,,
Sam Dobbs,TE,VANDY,2.6,2.6,3.4,,,1,0,15,0.04,,,,
Darveon Brown,WR,ARKST,2.6,2.6,3.2,,,1,0,12,0.1,,,,
Carmoni Green,WR,ILL,2.5,2.5,3.8,,,-1,0,19,0.07,,,,
Deon Stewart,WR,ARK,2.5,2.5,3.2,,,0,0,17,0.07,,,,
Bruno Labelle,TE,CINCY,2.5,2.5,3.6,,,0,0,12,0.06,,,,
Greg White,WR,NTEXAS,2.5,2.5,3.1,,,0,0,17,0.06,,,,
Ra'Von Bonner,RB,ILL,2.5,2.5,2.7,,,17,0.11,1,0.01,,,,
Jackson Anthrop,WR,PURDUE,2.5,2.5,3.3,,,0,0.02,12,0.08,,,,
Justin Allen,WR,FRESNO,2.5,2.5,3.3,,,0,0,14,0.06,,,,
Kyric McGowan,WR,NWEST,2.5,2.5,3,,,3,0,11,0.1,,,,
Deangelo Antoine,WR,SFLA,2.5,2.5,3.5,,,1,0,16,0.1,,,,
C.J. Sanders,WR,SMU,2.5,2.5,3.2,,,1,0,15,0.11,,,,
Emmanuel Harris,WR,NMEX,2.5,2.5,3,,,2,0,12,0.12,,,,
Tario Fuller,RB,PURDUE,2.5,2.5,3.1,,,9,0.04,8,0.02,,,,
Julian Ross,RB,OHIO,2.5,2.5,2.8,,,13,0.12,2,0.03,,,,
Christian Owens,WR,GAST,2.5,2.5,3,,,0,0,12,0.14,,,,
Brett Borske,TE,WMICH,2.5,2.5,2.9,,,0,0,12,0.16,,,,
Thai Cottrell,WR,SJST,2.5,2.5,3.4,,,1,0.01,12,0.05,,,,
Sean McGrew,RB,WASH,2.5,2.5,2.8,,,12,0.08,6,0.02,,,,
Kano Dillon,TE,OREG,2.5,2.5,3,,,0,0,11,0.16,,,,
Cam Brown,TE,GAS,2.5,2.5,3.1,,,0,0,7,0.22,,,,
Jaetavian Toles,WR,TULANE,2.5,2.5,3.2,,,0,0,14,0.08,,,,
Josh Fields,RB,UTEP,2.5,2.5,3,,,15,0.04,3,0.02,,,,
Cee Jay Powell,WR,LATECH,2.5,2.5,3.3,,,0,0,12,0.1,,,,
James Prather,TE,NWEST,2.5,2.5,3.3,,,0,0,14,0.06,,,,
Cary Angeline,TE,NCST,2.5,2.5,3.2,,,0,0,14,0.05,,,,
Christopher Brown Jr.,RB,CAL,2.5,2.5,2.8,,,13,0.08,4,0.02,,,,
Beau Bisharat,RB,COLO,2.5,2.5,2.8,,,10,0.04,3,0.12,,,,
Terry Juniel,WR,UTEP,2.4,2.4,3.2,,,0,0,17,0.07,,,,
Brady Bodine,RB,NCST,2.4,2.4,2.7,,,11,0.14,3,0.01,,,,
Mark Salazar,QB,SDGST,2.4,2.4,2.6,32,0.32,1,0.02,0,0,,,,
Daevon Vigilant,RB,NMEX,2.4,2.4,2.7,,,16,0.06,3,0.02,,,,
Ryan Bay,TE,OREG,2.4,2.4,3.2,,,0,0,13,0.07,,,,
Donaven Tennyson,WR,VANDY,2.4,2.4,3.1,,,2,0,17,0.04,,,,
Dejonte O'Neal,RB,FRESNO,2.4,2.4,2.9,,,10,0.07,5,0.02,,,,
Isaiah Likely,TE,CSTCAR,2.4,2.4,2.7,,,0,0,12,0.16,,,,
Ko Kieft,TE,MINN,2.4,2.4,2.9,,,0,0,14,0.09,,,,
Riley Lees,WR,NWEST,2.4,2.4,3,,,1,0,12,0.08,,,,
Matt LaRoche,RB,GAS,2.4,2.4,2.5,,,15,0.1,2,0.01,,,,
Nikko Hall,WR,COLOST,2.4,2.4,2.9,,,3,0,12,0.06,,,,
Terrace Marshall Jr.,WR,LSU,2.4,2.4,2.8,,,0,0,17,0.03,,,,
Brenden Schooler,WR,OREG,2.4,2.4,2.8,,,0,0,12,0.12,,,,
Octavius Evans,WR,BOISE,2.4,2.4,3.3,,,0,0,12,0.17,,,,
JaQuan Blackwell,WR,SJST,2.4,2.4,3.1,,,0,0,14,0.03,,,,
Jahcour Pearson,WR,WKY,2.4,2.4,2.9,,,1,0.01,12,0.1,,,,
Donta Anthony Jr.,TE,ODU,2.3,2.3,3,,,0,0,15,0.05,,,,
Christian Turner,RB,MICH,2.3,2.3,2.5,,,14,0.08,3,0.01,,,,
Jamal Turner,TE,TOLEDO,2.3,2.3,2.9,,,0,0,13,0.09,,,,
Brant Kuithe,TE,UTAH,2.3,2.3,3,,,0,0,11,0.1,,,,
Stanley Clerveaux,WR,SFLA,2.3,2.3,2.8,,,0,0,11,0.12,,,,
DJ Nelson,WR,UTAHST,2.3,2.3,2.9,,,2,0.06,9,0.05,,,,
Ruben Garnett,WR,MTSU,2.3,2.3,3,,,2,0.01,12,0.07,,,,
Miles Reed,RB,HAWAII,2.3,2.3,2.6,,,12,0.06,5,0.03,,,,
Isaiah King,WR,BUFF,2.3,2.3,2.7,,,2,0.01,12,0.08,,,,
Jordan Wright,RB,LALAF,2.3,2.3,2.5,,,14,0.06,3,0.02,,,,
Chris Phillips,TE,CHARLO,2.3,2.3,2.8,,,0,0,10,0.14,,,,
Nick Eubanks,TE,MICH,2.3,2.3,2.8,,,0,0,16,0.04,,,,
Griffin Hammer,TE,COLOST,2.3,2.3,3,,,0,0,13,0.06,,,,
Keshaun McGaugh,RB,CHARLO,2.3,2.3,2.5,,,5,0.22,3,0.01,,,,
Ryan Newsome,WR,ARIZST,2.3,2.3,3.1,,,-1,0,20,0.06,,,,
Tre'Shon Wolf,WR,UTEP,2.3,2.3,3,,,0,0,14,0.03,,,,
Kavika Johnson,WR,UTEP,2.3,2.3,2.8,,,3,0.02,11,0.05,,,,
Eric Swinney,RB,MISS,2.2,2.2,2.8,,,11,0.05,2,0.03,,,,
Desmond Phillips,WR,TOLEDO,2.2,2.2,2.8,,,0,0,12,0.09,,,,
Major Tennison,TE,BAMA,2.2,2.2,2.7,,,0,0,11,0.1,,,,
Dom Williams,RB,KANSAS,2.2,2.2,2.6,,,14,0.06,3,0.02,,,,
Ronnie Bell,WR,MICH,2.2,2.2,2.6,,,0,0,11,0.13,,,,
Timothy Taylor,RB,MEMP,2.2,2.2,2.5,,,9,0.09,5,0.02,,,,
Madre London,RB,TENN,2.2,2.2,2.4,,,14,0.1,2,0.01,,,,
Deddrick Thomas,WR,MISSST,2.2,2.2,2.7,,,0,0,12,0.08,,,,
Charlie Fessler,WR,NWEST,2.2,2.2,2.7,,,0,0,13,0.06,,,,
Jaylon Robinson,WR,OKLA,2.2,2.2,2.7,,,0,0,12,0.08,,,,
Kurt Rafdal,TE,NEB,2.2,2.2,2.7,,,0,0,14,0.06,,,,
Markenzy Pierre,RB,CUSE,2.2,2.2,2.5,,,11,0.09,4,0.02,,,,
Keith Mixon,WR,MISSST,2.2,2.2,2.7,,,2,0.01,12,0.1,,,,
Isaac Holder,WR,EMICH,2.2,2.2,2.8,,,0,0,12,0.06,,,,
Austin Cantrell,TE,ARK,2.2,2.2,2.7,,,1,0.04,10,0.06,,,,
Jonathan Ifedi,WR,GAST,2.1,2.1,2.8,,,0,0,12,0.04,,,,
Jonathan Hodoh,WR,LAMON,2.1,2.1,2.8,,,0,0,10,0.09,,,,
Aston Walter,WR,RICE,2.1,2.1,2.4,,,10,0.02,6,0.03,,,,
Christian Hayes,WR,ARMY,2.1,2.1,2.4,,,0,0,11,0.14,,,,
Kade Warner,WR,NEB,2.1,2.1,2.8,,,0,0,11,0.06,,,,
Danzel McKinley-Lewis,WR,TOLEDO,2.1,2.1,2.9,,,0,0,14,0.1,,,,
Kamari Pleasant,RB,WASH,2.1,2.1,2.4,,,12,0.08,3,0.02,,,,
Scott Bracey,WR,DUKE,2.1,2.1,2.8,,,0,0,10,0.06,,,,
Julon Williams,WR,HOU,2.1,2.1,2.8,,,0,0,10,0.08,,,,
Brandon Johnson,WR,TENN,2.1,2.1,2.8,,,0,0,12,0.03,,,,
Carson Terrell,TE,UTAHST,2.1,2.1,2.6,,,0,0,13,0.05,,,,
Weston Bridges,RB,MICHST,2.1,2.1,2.3,,,11,0.09,3,0.01,,,,
Oliver Martin,WR,MICH,2.1,2.1,2.6,,,0,0,13,0.05,,,,
Trelon Smith,RB,ARIZST,2.1,2.1,3.5,,,10,0.07,9,0.02,,,,
Conor Brumfield,TE,KENTST,2.1,2.1,2.7,,,0,0,10,0.08,,,,
TJ Green,RB,UTAH,2.1,2.1,2.3,,,12,0.07,3,0.01,,,,
Matt Barnes,TE,LALAF,2.1,2.1,2.8,,,0,0,11,0.04,,,,
Farrod Green,TE,MISSST,2,2,2.6,,,0,0,12,0.06,,,,
Neil McLaurin,WR,USM,2,2,2.5,,,0,0,12,0.07,,,,
Brenden Fulton,WR,COLOST,2,2,2.5,,,0,0,12,0.06,,,,
Brayden Lenius,WR,WASH,2,2,2.5,,,0,0,11,0.06,,,,
Shea Holebrook Jr.,WR,NMEXST,2,2,2.6,,,0,0,10,0.07,,,,
Danny Dalton,TE,PSU,2,2,2.6,,,0,0,10,0.07,,,,
Zamore Zigler,RB,SJST,2,2,2.3,,,10,0.08,3,0.02,,,,
Alex Ofodile,WR,MIZZOU,2,2,2.5,,,0,0,10,0.07,,,,
Marcus Joyner,TE,ODU,2,2,2.5,,,0,0,12,0.05,,,,
Roscoe Johnson,WR,UNC,2,2,2.5,,,0,0,12,0.04,,,,
Mohamed Jabbie,WR,RUT,2,2,2.5,,,0,0,12,0.04,,,,
Trey Ellis,WR,VANDY,1.9,1.9,2.5,,,0,0,12,0.04,,,,
Henry Geil,RB,IOWA,1.9,1.9,2.1,,,9,0.08,3,0.02,,,,
Zack Kuntz,TE,PSU,1.9,1.9,2.5,,,0,0,10,0.06,,,,
Jeremy Ruckert,TE,OHIOST,1.9,1.9,2.3,,,0,0,10,0.08,,,,
Miller Forristall,TE,BAMA,1.9,1.9,2.3,,,0,0,10,0.08,,,,
Jonathan Femi-Cole,RB,MINN,1.9,1.9,2.1,,,11,0.06,3,0.01,,,,
Curtis Hodges,WR,ARIZST,1.9,1.9,3,,,0,0,15,0.06,,,,
Matt Bjorson,TE,IND,1.9,1.9,2.4,,,0,0,11,0.04,,,,
Gavin Sharp,TE,TXSA,1.9,1.9,2.6,,,0,0,6,0.1,,,,
Kase Rogers,RB,OREGST,1.9,1.9,2.1,,,8,0.12,2,0.02,,,,
Tevis Abraham,WR,NMEXST,1.9,1.9,2.5,,,0,0,9,0.07,,,,
Tazh Maloy,RB,NAVY,1.9,1.9,2.2,,,10,0.08,1,0.01,,,,
Leki Nunn,WR,SJST,1.9,1.9,2.6,,,0,0,10,0.02,,,,
John Raine,TE,FAU,1.8,1.8,2.6,,,0,0,9,0.05,,,,
Jake Bargas,TE,UNC,1.8,1.8,2.3,,,0,0,12,0.04,,,,
James Noble,RB,UAB,1.8,1.8,2,,,9,0.09,2,0.02,,,,
C.J. Saunders,WR,OHIOST,1.8,1.8,2.6,,,1,0,11,0.08,,,,
Terrell Jana,WR,UVA,1.8,1.8,2.3,,,0,0,11,0.04,,,,
Jesse Jackson,WR,MISSST,1.8,1.8,2.3,,,0,0,10,0.04,,,,
Dontea Jones,TE,MISSST,1.8,1.8,2.2,,,0,0,12,0.03,,,,
