player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Darrius Smith,RB,ARIZ,10.7,10.7,11.5,,,62,0.66,3,0.02,,,,
Washington,DEF,WASH,10.7,9.3,9.3,,,0,0,0,0,16.1,2.51,0.84,
Utah State,DEF,UTAHST,10.6,9.3,9.3,,,0,0,0,0,18.8,2.5,0.76,
Texas Tech,DEF,TXTECH,10.6,8.9,8.9,,,0,0,0,0,21.1,1.93,1.14,
Zack Annexstad,QB,MINN,10.6,10.6,11,168,1.4,1,0.04,0,0,,,,
Shakif Seymour,RB,TOLEDO,10.6,10.6,11.6,,,56,0.35,14,0.17,,,,
Tyleek Collins,WR,UNLV,10.6,10.6,12.3,,,6,0.21,58,0.26,,,,
Nebraska,DEF,NEB,10.6,8.8,8.8,,,0,0,0,0,23.8,2.02,1.6,
Tyler Johnson,WR,MINN,10.5,10.5,12.7,,,0,0,53,0.66,,,,
Amon-Ra St. Brown,WR,USC,10.5,10.5,13.1,,,2,0,64,0.31,,,,
Minnesota,DEF,MINN,10.5,8.5,8.5,,,0,0,0,0,26,2.35,1.2,
Karan Higdon,RB,MICH,10.5,10.5,11.4,,,53,0.57,10,0.06,,,,
Willie Wright,WR,FAU,10.4,10.4,12.8,,,9,0.02,50,0.41,,,,
Washington State,DEF,WASHST,10.4,8.3,8.3,,,0,0,0,0,26.8,2.36,1.32,
Arkansas,DEF,ARK,10.4,8.3,8.3,,,0,0,0,0,25.9,2.46,1.17,
Stevie Scott,RB,IND,10.4,10.4,12.2,,,63,0.42,10,0.1,,,,
Ke'Shawn Vaughn,RB,VANDY,10.4,10.4,11.4,,,46,0.32,24,0.13,,,,
Army,DEF,ARMY,10.3,8.5,8.5,,,0,0,0,0,17.6,1.86,0.63,
Nico Evans,RB,WYO,10.3,10.3,11.5,,,69,0.41,6,0.05,,,,
Courtney Lark,WR,HOU,10.3,10.3,12.7,,,0,0,62,0.36,,,,
Caleb Wilson,TE,UCLA,10.3,10.3,12.7,,,0,0,64,0.31,,,,
Nyqwan Murray,WR,FSU,10.3,10.3,12.6,,,1,0.03,57,0.5,,,,
Texas-San Antonio,DEF,TXSA,10.2,7.9,7.9,,,0,0,0,0,28.1,2.2,1.09,
Boise State,DEF,BOISE,10.2,8.5,8.5,,,0,0,0,0,19.8,2.34,0.81,
Patrick Carr,RB,HOU,10.2,10.2,11.6,,,54,0.29,18,0.13,,,,
Darren Woods Jr.,WR,UNLV,10.2,10.2,12.5,,,2,0,58,0.37,,,,
Virginia,DEF,UVA,10.2,8.3,8.3,,,0,0,0,0,22.4,2.9,0.93,
California,DEF,CAL,10.2,8.1,8.1,,,0,0,0,0,24,2.64,0.8,
Ohio,DEF,OHIO,10.1,7.9,7.9,,,0,0,0,0,28.1,2.09,1.29,
