name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Sony Michel,21.0,RB,NE,CHI,6.6620599655877974,7.0626363300141835,5.985369909377325,13.990325927734375,14.831536293029785,12.569276809692383,1.02503684274418,0.80846680539846,0.9,4.94383924480024,
Marlon Mack,17.0,RB,IND,BUF,6.416489096248851,7.051835340612075,5.705882240744198,10.908031463623047,11.988120079040527,9.699999809265137,0.96202258891845,0.0509344966890257,1.7,5.3588267968629,
Allen Hurns,10.0,WR,DAL,WAS,6.372518539428711,7.018672466278076,5.599999904632568,6.372518539428711,7.018672466278076,5.599999904632568,0.624090188233636,0.364559513452709,3.7,5.16406433702606,
Ryan Grant,13.0,WR,IND,BUF,5.889136241032527,6.950125327477088,4.561538329491248,7.655877113342285,9.035162925720215,5.929999828338623,1.30789142542607,0.148398756544711,8.2,7.72449845877421,
Greg Olsen,17.0,TE,CAR,PHI,6.071736391852884,6.944724812227137,4.1823530197143555,10.321951866149902,11.806032180786133,7.110000133514404,1.92053108826921,0.805938523707034,1,6.83315219438409,
Brandin Cooks,25.0,WR,LAR,SF,6.324993896484375,6.944222259521484,5.868000030517578,15.812484741210938,17.36055564880371,14.670000076293945,1.36212357226718,0.166664630357264,1.2,5.31348185485976,
Marvin Jones,19.0,WR,DET,MIA,6.394345634861996,6.936044692993164,5.5473684009752775,12.149256706237793,13.178484916687012,10.539999961853027,1.2183629487206,0.36427084349098,1.6,5.25347373961294,
Jordan Reed,17.0,TE,WAS,DAL,6.219235588522518,6.9134403677547684,5.429874868953929,10.572700500488281,11.752848625183105,9.23078727722168,1.30304780417272,0.203471344442841,1.1,5.72004130710893,
DeVante Parker,10.0,WR,MIA,DET,5.3726019859313965,6.902348041534424,2.7230000495910645,5.3726019859313965,6.902348041534424,2.7230000495910645,1.69144102066078,0.210943945723909,2.4,6.20291542254784,
Todd Gurley,41.0,RB,LAR,SF,6.5203052613793355,6.895952922541921,6.146497959043922,26.733251571655273,28.273406982421875,25.200641632080078,1.54039359492912,3.60905410093127,0,5.17075774363711,
Kenny Stills,16.0,WR,MIA,DET,6.324657201766968,6.877743601799011,5.43874979019165,10.119451522827148,11.004389762878418,8.70199966430664,0.911467190753338,0.0708643899065002,1.8,4.89302088665071,
Zach Ertz,27.0,TE,PHI,CAR,6.311362937644676,6.876184675428602,5.612945556640625,17.040679931640625,18.565698623657227,15.154953002929688,1.73123079387622,3.709986498058,0.6,6.27359052021767,
Adrian Peterson,19.0,RB,WAS,DAL,6.5165037857858765,6.849101217169511,5.815789574070981,12.381357192993164,13.01329231262207,11.050000190734863,1.00943904574673,0.101303138263781,1.8,5.49700906893579,
Trent Taylor,10.0,WR,SF,LAR,5.135742664337158,6.845580101013184,2.1227869987487793,5.135742664337158,6.845580101013184,2.1227869987487793,1.90068424792306,0.657154740394451,10.3,9.30418952697702,
Alex Smith,26.0,QB,WAS,DAL,6.604144023014949,6.804397289569561,6.309959705059344,17.170774459838867,17.69143295288086,16.405895233154297,0.594158366572869,0.22656943279032,0.6,4.10440081829131,
Carson Wentz,30.0,QB,PHI,CAR,6.620836893717448,6.803099314371745,6.345263799031575,19.862510681152344,20.409297943115234,19.035791397094727,0.566750178092092,0.110131521635839,1.1,5.032516630917,
James White,22.0,RB,NE,CHI,6.423025564713911,6.800241036848588,5.6027746200561515,14.130656242370605,14.960530281066895,12.326104164123535,0.998383012608774,0.532781103264721,2.1,5.67225701122064,
Jamison Crowder,16.0,WR,WAS,DAL,5.427037477493286,6.742830872535706,3.2821860909461975,8.683259963989258,10.788529396057129,5.251497745513916,2.69495651677159,0.157681003447541,9.5,10.1367345183997,
