name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Garrett Groshek,4000.0,RB,WISC,IL,1.7999999523162842,1.5750000476837158,1.5750000476837158,7.199999809265137,6.300000190734863,6.300000190734863,,0.11,,,
Taye Barber,3400.0,WR,TCU,OU,1.794117619009579,1.44117649863748,1.44117649863748,6.099999904632568,4.900000095367432,4.900000095367432,,0,,,
Ty Chandler,4200.0,RB,TENN,BAMA,1.7619047846112932,1.5952380498250325,1.5952380498250325,7.400000095367432,6.699999809265137,6.699999809265137,,0.1,,,
Ricky Slade,3700.0,RB,PSU,IU,1.7567567567567566,1.5675676191175305,1.5675676191175305,6.5,5.800000190734863,5.800000190734863,,0.51,,,
Trenard Davis,3000.0,WR,ILL,WISC,1.7333332697550456,1.3999999364217122,1.3999999364217122,5.199999809265137,4.199999809265137,4.199999809265137,,0,,,
Henry Ruggs,6400.0,WR,BAMA,TENN,1.71875,1.4687499403953552,1.4687499403953552,11.0,9.399999618530273,9.399999618530273,,0,,,
Tavien Feaster,3800.0,RB,CLEM,NCST,1.7105263157894737,1.6052631327980444,1.6052631327980444,6.5,6.099999904632568,6.099999904632568,,0.3,,,
Aaron Fuller,6100.0,WR,WASH,COL,1.7049179702508646,1.3934426229508197,1.3934426229508197,10.399999618530273,8.5,8.5,,0,,,
Mac Hippenhammer,3000.0,WR,PSU,IU,1.6999999682108562,1.4666666984558105,1.4666666984558105,5.099999904632568,4.400000095367432,4.400000095367432,,0,,,
Jarrison Stewart,3000.0,WR,TCU,OU,1.6999999682108562,1.3000000317891438,1.3000000317891438,5.099999904632568,3.9000000953674316,3.9000000953674316,,0,,,
KeSean Carter,4200.0,WR,TXTECH,KU,1.6904761677696591,1.3809524263654436,1.3809524263654436,7.099999904632568,5.800000190734863,5.800000190734863,,0,,,
Jay MacIntyre,3500.0,WR,COLO,UW,1.6857143129621233,1.2571428843906947,1.2571428843906947,5.900000095367432,4.400000095367432,4.400000095367432,,0,,,
Jaylen Waddle,4400.0,WR,BAMA,TENN,1.681818203492598,1.4318182251670142,1.4318182251670142,7.400000095367432,6.300000190734863,6.300000190734863,,0,,,
